Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional,Year
27,Isaiah Thomas,27,BOS,PG,76,76,2569,26.5,0.625,0.439,0.441,1.9,7.0,4.4,32.5,1.4,0.4,10.7,34.0,10.9,1.6,12.5,0.234,7.8,-1.1,6.7,5.6,MVP-5ASNBA2,thomais02,2017
28,Tobias Harris,24,DET,PF,82,48,2567,16.9,0.568,0.295,0.213,2.6,15.6,8.8,8.8,1.2,1.3,7.6,21.7,4.0,2.8,6.8,0.128,1.3,0.3,1.6,2.3,,harrito02,2017
29,Marcus Morris,27,DET,SF,79,79,2565,12.4,0.508,0.355,0.184,3.2,12.8,7.8,9.4,1.0,0.8,7.4,20.3,1.4,2.4,3.9,0.072,-0.8,-0.3,-1.1,0.6,,morrima03,2017
30,Marcin Gortat,32,WAS,C,82,82,2556,15.4,0.593,0.003,0.236,10.6,26.8,18.7,6.8,0.8,2.0,13.8,14.7,3.9,2.9,6.8,0.127,-0.3,-0.5,-0.8,0.8,,gortama01,2017
31,Myles Turner,20,IND,C,81,81,2541,18.5,0.585,0.132,0.349,6.2,19.6,13.0,6.6,1.5,5.9,9.5,19.5,4.3,3.7,8.0,0.151,-0.1,1.1,1.1,2.0,,turnemy01,2017
32,Carmelo Anthony,32,NYK,SF,74,74,2538,17.9,0.535,0.303,0.263,2.6,16.0,9.3,14.5,1.2,1.1,9.0,29.1,3.2,1.5,4.7,0.089,2.3,-1.6,0.7,1.7,AS,anthoca01,2017
33,Marc Gasol,32,MEM,C,74,74,2531,20.3,0.554,0.231,0.286,2.6,18.8,10.5,24.8,1.4,3.7,11.3,26.4,4.2,3.5,7.7,0.145,3.8,1.4,5.2,4.6,AS,gasolma01,2017
34,Kentavious Caldwell-Pope,23,DET,SG,76,75,2529,12.8,0.519,0.471,0.199,2.3,8.7,5.3,11.2,1.8,0.4,7.9,19.2,2.0,2.5,4.5,0.086,-0.6,0.4,-0.2,1.1,,caldwke01,2017
35,Kyrie Irving,24,CLE,PG,72,72,2525,23.0,0.58,0.311,0.231,2.3,7.5,5.0,29.7,1.6,0.8,10.3,30.8,7.4,1.5,8.9,0.17,4.7,-1.3,3.4,3.4,AS,irvinky01,2017
36,Gordon Hayward,26,UTA,SF,73,73,2516,22.2,0.595,0.324,0.371,2.3,15.4,9.0,18.2,1.5,0.6,9.4,27.6,7.1,3.3,10.4,0.199,4.6,0.5,5.0,4.5,AS,haywago01,2017
