Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional,Year
1,Mikal Bridges,28,NYK,SF,56,56,2134,13.3,0.575,0.429,0.075,2.8,6.7,4.8,12.1,1.2,1.3,9.1,19.1,2.3,1.0,3.3,0.075,0.3,-1.4,-1.1,0.5,,bridgmi01,2023
2,Anthony Edwards,23,MIN,SG,55,55,2022,19.3,0.584,0.486,0.284,2.4,14.9,8.7,21.0,1.6,1.7,12.7,31.9,2.4,2.7,5.1,0.121,4.0,-0.2,3.8,3.0,,edwaran01,2023
3,Josh Hart,29,NYK,SG,53,53,2003,17.9,0.644,0.324,0.276,6.9,22.1,14.6,19.9,2.0,0.9,14.7,15.3,4.9,2.3,7.2,0.173,2.1,1.3,3.4,2.7,,hartjo01,2023
4,Jalen Brunson,28,NYK,PG,55,55,1931,22.3,0.608,0.317,0.379,1.4,7.8,4.7,32.6,1.3,0.2,10.2,29.4,6.6,0.9,7.4,0.185,4.9,-1.8,3.1,2.5,,brunsja01,2023
5,Jayson Tatum,26,BOS,PF,53,53,1926,22.0,0.589,0.506,0.32,1.7,24.2,13.0,25.5,1.6,1.3,10.8,30.6,4.1,3.2,7.3,0.182,4.6,0.9,5.5,3.7,,tatumja01,2023
6,Domantas Sabonis,28,SAC,C,53,53,1911,23.3,0.667,0.179,0.329,12.6,32.1,22.3,26.1,0.8,1.1,16.6,21.5,6.3,2.1,8.3,0.209,4.5,0.8,5.3,3.5,,sabondo01,2023
7,De'Aaron Fox,27,2TM,PG,52,52,1909,19.2,0.571,0.321,0.286,2.8,12.0,7.4,26.9,2.0,1.1,11.6,28.4,2.9,1.5,4.4,0.112,2.0,-0.8,1.2,1.5,,foxde01,2023
8,De'Aaron Fox,27,SAC,PG,45,45,1663,18.9,0.567,0.324,0.279,3.0,12.0,7.5,25.9,1.9,1.2,11.8,28.7,2.3,1.3,3.6,0.104,2.0,-1.0,1.1,1.3,,foxde01,2023
9,De'Aaron Fox,27,SAS,PG,7,7,246,21.2,0.598,0.299,0.342,1.3,11.9,6.7,33.6,2.9,0.7,10.0,26.0,0.6,0.3,0.9,0.168,1.8,0.3,2.1,0.3,,foxde01,2023
10,Jalen Green,22,HOU,SG,57,57,1902,15.0,0.549,0.462,0.231,1.8,12.1,6.8,14.7,1.2,0.9,11.5,27.3,1.4,2.2,3.5,0.09,1.3,-0.8,0.5,1.2,,greenja05,2023
11,Trae Young,26,ATL,PG,52,52,1884,17.6,0.561,0.486,0.396,1.4,8.1,4.7,46.8,1.6,0.5,18.5,29.5,2.3,1.0,3.3,0.084,2.7,-2.6,0.1,1.0,,youngtr01,2023
12,Devin Booker,28,PHO,SG,50,50,1863,20.1,0.592,0.407,0.382,2.9,8.7,5.9,29.4,1.4,0.6,10.9,29.2,4.5,0.5,5.0,0.13,3.1,-2.0,1.1,1.5,,bookede01,2023
13,Tyler Herro,25,MIA,SG,52,52,1854,19.2,0.608,0.545,0.234,1.1,15.4,8.4,26.8,1.1,0.4,12.0,27.8,3.1,1.7,4.8,0.124,3.9,-1.0,2.9,2.3,,herroty01,2023
14,Keegan Murray,24,SAC,PF,53,53,1853,11.3,0.539,0.525,0.099,6.6,15.6,11.1,5.5,1.1,2.4,7.5,14.7,1.3,1.4,2.8,0.072,-1.4,-1.0,-2.4,-0.2,,murrake02,2023
15,Christian Braun,23,DEN,SG,56,54,1847,15.8,0.656,0.261,0.281,4.5,11.8,8.3,8.7,1.6,1.4,7.7,15.7,4.2,1.4,5.6,0.145,0.5,-0.5,0.0,0.9,,braunch01,2023
16,Kelly Oubre Jr.,29,PHI,SF,53,50,1843,13.3,0.543,0.333,0.233,5.2,16.5,10.6,8.0,2.2,1.4,9.0,18.7,1.0,1.6,2.6,0.066,-1.9,-0.5,-2.4,-0.1,,oubreke01,2023
17,Shai Gilgeous-Alexander,26,OKC,PG,54,54,1836,30.9,0.638,0.266,0.409,2.8,12.9,7.9,30.6,2.7,3.1,9.1,34.7,8.4,3.8,12.2,0.318,8.7,3.1,11.7,6.4,,gilgesh01,2023
18,Nikola Jokić,29,DEN,C,51,51,1834,33.1,0.664,0.237,0.315,9.8,27.9,19.3,44.8,2.4,1.6,12.5,29.7,9.8,2.8,12.6,0.329,10.6,3.4,14.0,7.4,,jokicni01,2023
19,DeMar DeRozan,35,SAC,SF,51,51,1833,17.8,0.582,0.179,0.335,1.6,10.3,5.9,15.9,1.3,1.2,6.6,24.1,3.8,1.1,4.8,0.126,0.9,-1.0,-0.1,0.9,,derozde01,2023
20,Rudy Gobert,32,MIN,C,55,55,1831,16.9,0.676,0.0,0.547,11.9,22.6,17.3,7.9,1.0,4.3,14.4,12.3,4.1,3.0,7.1,0.185,-0.1,1.3,1.2,1.5,,goberru01,2023
21,Tyrese Maxey,24,PHI,PG,48,48,1825,20.9,0.576,0.447,0.269,0.8,10.2,5.3,28.7,2.4,1.1,9.4,30.5,3.4,1.3,4.6,0.122,4.0,-0.9,3.0,2.3,,maxeyty01,2023
22,Jaden McDaniels,24,MIN,PF,57,57,1822,12.6,0.559,0.396,0.157,5.3,13.9,9.6,8.3,2.2,2.5,10.0,15.7,1.4,2.8,4.2,0.111,-1.7,1.6,-0.1,0.9,,mcdanja02,2023
23,Cade Cunningham,23,DET,PG,51,51,1807,20.2,0.554,0.303,0.237,2.7,16.7,9.7,44.0,1.3,2.0,16.1,32.6,2.2,2.0,4.2,0.111,3.7,-0.2,3.5,2.5,,cunnica01,2023
24,OG Anunoby,27,NYK,PF,50,50,1804,14.1,0.588,0.45,0.19,4.1,10.4,7.3,7.4,1.9,2.2,8.8,18.0,2.2,1.5,3.7,0.099,0.0,-0.4,-0.4,0.7,,anunoog01,2023
25,Tyrese Haliburton,24,IND,PG,53,53,1801,19.6,0.591,0.569,0.213,2.0,9.7,5.9,35.1,1.8,1.8,10.6,21.6,4.7,1.3,6.0,0.159,4.3,-0.5,3.8,2.7,,halibty01,2023
26,Nikola Vučević,34,CHI,C,56,56,1799,20.1,0.614,0.312,0.146,7.7,25.5,16.7,16.6,1.3,1.8,9.9,22.5,3.6,1.8,5.3,0.142,2.1,-0.3,1.9,1.8,,vucevni01,2023
27,Jamal Murray,27,DEN,PG,50,50,1799,17.7,0.582,0.355,0.212,1.9,9.4,5.9,23.3,1.9,1.4,10.8,24.0,3.3,1.3,4.6,0.123,1.6,-0.9,0.7,1.2,,murraja01,2023
28,Michael Porter Jr.,26,DEN,SF,54,54,1790,17.1,0.628,0.461,0.19,6.2,15.3,11.0,8.9,0.9,1.2,8.4,20.6,3.7,1.2,4.9,0.131,2.3,-1.8,0.5,1.1,,portemi01,2023
29,Pascal Siakam,30,IND,PF,54,54,1789,20.1,0.614,0.278,0.266,5.9,18.3,12.2,15.5,1.4,1.3,7.0,23.6,4.4,1.5,5.9,0.159,2.8,-0.6,2.2,1.9,,siakapa01,2023
30,James Harden,35,LAC,PG,52,52,1788,18.6,0.565,0.514,0.432,2.1,16.6,9.4,37.7,2.1,1.9,19.1,29.6,1.6,2.8,4.4,0.118,2.5,0.7,3.1,2.3,,hardeja01,2023
31,Karl-Anthony Towns,29,NYK,C,51,51,1782,24.9,0.641,0.286,0.34,10.2,33.2,21.9,14.4,1.5,2.0,11.9,27.2,5.4,2.5,8.0,0.215,4.4,0.0,4.4,2.9,,townska01,2023
32,Toumani Camara,24,POR,PF,55,55,1779,12.0,0.571,0.484,0.178,7.6,12.7,10.1,9.0,2.2,1.8,14.0,13.8,1.5,1.6,3.1,0.083,-1.3,0.5,-0.8,0.5,,camarto01,2023
33,Derrick White,30,BOS,SG,53,53,1776,16.0,0.602,0.706,0.173,2.9,11.1,7.0,18.2,1.2,3.0,10.8,19.5,3.3,2.2,5.5,0.15,2.4,0.5,2.9,2.2,,whitede01,2023
34,Bam Adebayo,27,MIA,C,52,52,1771,17.9,0.541,0.189,0.3,8.4,23.7,16.2,20.9,1.8,2.2,12.4,23.0,1.7,2.6,4.3,0.117,0.2,0.9,1.1,1.4,,adebaba01,2023
35,LeBron James,40,LAL,SF,51,51,1764,23.4,0.608,0.315,0.245,3.0,21.8,12.7,43.8,1.3,1.6,16.1,30.7,3.7,2.0,5.7,0.156,5.3,0.7,6.0,3.6,,jamesle01,2023
36,Dillon Brooks,29,HOU,SF,54,54,1741,10.2,0.54,0.518,0.146,3.8,9.1,6.4,7.0,1.2,0.6,7.5,17.1,1.6,1.8,3.4,0.094,-1.8,-0.2,-2.0,0.0,,brookdi01,2023
37,Amen Thompson,22,HOU,SF,54,27,1735,18.2,0.603,0.132,0.405,8.7,18.5,13.4,15.5,2.1,3.6,15.3,17.5,2.9,3.1,6.0,0.166,1.1,2.3,3.4,2.3,,thompam01,2023
38,Austin Reaves,26,LAL,SG,50,50,1734,17.4,0.597,0.511,0.35,2.8,11.0,7.0,26.1,1.6,0.8,13.4,23.5,3.2,1.4,4.7,0.129,1.9,-0.6,1.3,1.4,,reaveau01,2023
39,Dyson Daniels,21,ATL,SG,51,51,1732,14.7,0.525,0.273,0.159,5.2,12.6,8.8,16.5,4.1,2.1,12.1,18.0,0.6,2.5,3.1,0.085,-1.7,2.6,0.9,1.2,,daniedy01,2023
40,Tobias Harris,32,DET,PF,54,54,1722,13.7,0.56,0.336,0.2,3.2,17.3,10.3,9.9,1.4,2.5,8.2,17.6,1.8,2.0,3.8,0.105,-0.7,0.4,-0.3,0.7,,harrito02,2023
41,Brook Lopez,36,MIL,C,54,54,1712,14.0,0.601,0.522,0.159,4.3,11.8,8.2,7.5,1.1,5.8,9.0,15.6,1.9,2.0,3.9,0.111,0.0,0.5,0.4,1.0,,lopezbr01,2023
42,Anfernee Simons,25,POR,SG,53,53,1709,14.8,0.558,0.527,0.179,1.0,8.4,4.6,24.5,1.2,0.3,11.3,24.4,2.1,0.6,2.7,0.076,1.5,-1.9,-0.4,0.7,,simonan01,2023
43,Bilal Coulibaly,20,WAS,SF,51,51,1703,10.9,0.513,0.367,0.3,4.6,11.4,7.9,15.3,1.8,1.9,14.7,17.5,-0.3,0.6,0.3,0.01,-2.9,-0.7,-3.6,-0.7,,coulibi01,2023
