Unnamed: 0_level_0 Rk,Unnamed: 1_level_0 Team,Unnamed: 2_level_0 Overall,Place Home,Place Road,Conference E,Conference W,Division A,Division C,Division SE,Division NW,Division P,Division SW,All-Star Pre,Year
1,Houston Rockets,65-17,34-7,31-10,24-6,41-11,6-4,9-1,9-1,16-2,13-5,12-4,44-13,2018
2,Toronto Raptors,59-23,34-7,25-16,40-12,19-11,12-4,14-4,14-4,5-5,6-4,8-2,41-16,2018
3,Golden State Warriors,58-24,29-12,29-12,24-6,34-18,9-1,6-4,9-1,8-10,13-3,13-5,44-14,2018
4,Boston Celtics,55-27,27-14,28-13,33-19,22-8,12-4,10-8,11-7,9-1,7-3,6-4,40-19,2018
5,Philadelphia 76ers,52-30,30-11,22-19,34-18,18-12,9-7,11-7,14-4,7-3,4-6,7-3,30-25,2018
6,Cleveland Cavaliers,50-32,29-12,21-20,35-17,15-15,11-7,11-5,13-5,5-5,5-5,5-5,34-22,2018
7,Portland Trail Blazers,49-33,28-13,21-20,18-12,31-21,4-6,6-4,8-2,9-7,15-3,7-11,32-26,2018
8,Indiana Pacers,48-34,27-14,21-20,32-20,16-14,11-7,10-6,11-7,3-7,9-1,4-6,33-25,2018
9,New Orleans Pelicans,48-34,24-17,24-17,21-9,27-25,6-4,9-1,6-4,6-12,12-6,9-7,31-26,2018
10,Oklahoma City Thunder,48-34,27-14,21-20,20-10,28-24,6-4,7-3,7-3,5-11,12-6,11-7,33-26,2018
11,Utah Jazz,48-34,28-13,20-21,14-16,34-18,3-7,6-4,5-5,7-9,15-3,12-6,30-28,2018
12,Minnesota Timberwolves,47-35,30-11,17-24,13-17,34-18,4-6,4-6,5-5,10-6,14-4,10-8,36-25,2018
13,San Antonio Spurs,47-35,33-8,14-27,18-12,29-23,6-4,5-5,7-3,9-9,11-7,9-7,35-24,2018
14,Denver Nuggets,46-36,31-10,15-26,18-12,28-24,4-6,8-2,6-4,9-7,10-8,9-9,32-26,2018
15,Miami Heat,44-38,26-15,18-23,31-21,13-17,9-9,11-7,11-5,4-6,5-5,4-6,30-28,2018
16,Milwaukee Bucks,44-38,25-16,19-22,27-25,17-13,11-7,6-10,10-8,5-5,7-3,5-5,32-25,2018
17,Washington Wizards,43-39,23-18,20-21,28-24,15-15,10-8,10-8,8-8,4-6,5-5,6-4,33-24,2018
18,Los Angeles Clippers,42-40,22-19,20-21,18-12,24-28,6-4,6-4,6-4,4-14,12-4,8-10,30-26,2018
19,Detroit Pistons,39-43,25-16,14-27,24-28,15-15,7-11,9-7,8-10,4-6,7-3,4-6,28-29,2018
20,Charlotte Hornets,36-46,21-20,15-26,22-30,14-16,4-14,7-11,11-5,4-6,7-3,3-7,24-33,2018
21,Los Angeles Lakers,35-47,20-21,15-26,16-14,19-33,5-5,5-5,6-4,4-14,6-10,9-9,23-34,2018
22,New York Knicks,29-53,19-22,10-31,17-35,12-18,6-10,4-14,7-11,4-6,5-5,3-7,23-36,2018
23,Brooklyn Nets,28-54,15-26,13-28,19-33,9-21,1-15,6-12,12-6,4-6,1-9,4-6,19-40,2018
24,Chicago Bulls,27-55,17-24,10-31,21-31,6-24,5-13,4-12,12-6,2-8,0-10,4-6,20-37,2018
25,Sacramento Kings,27-55,14-27,13-28,13-17,14-38,5-5,3-7,5-5,3-15,5-11,6-12,18-39,2018
26,Orlando Magic,25-57,17-24,8-33,15-37,10-20,5-13,5-13,5-11,2-8,3-7,5-5,18-39,2018
27,Atlanta Hawks,24-58,16-25,8-33,12-40,12-18,4-14,3-15,5-11,5-5,2-8,5-5,18-41,2018
28,Dallas Mavericks,24-58,15-26,9-32,10-20,14-38,2-8,4-6,4-6,5-13,4-14,5-11,18-40,2018
29,Memphis Grizzlies,22-60,16-25,6-35,4-26,18-34,2-8,1-9,1-9,5-13,8-10,5-11,18-38,2018
30,Phoenix Suns,21-61,10-31,11-30,6-24,15-37,2-8,2-8,2-8,5-13,4-12,6-12,18-41,2018
