Unnamed: 0_level_0 Rk,Unnamed: 1_level_0 Team,Unnamed: 2_level_0 Overall,Place Home,Place Road,Conference E,Conference W,Division A,Division C,Division SE,Division NW,Division P,Division SW,All-Star Pre,Year
1,Phoenix Suns,64-18,32-9,32-9,25-5,39-13,8-2,9-1,8-2,14-4,10-6,15-3,48-10,2022
2,Memphis Grizzlies,56-26,30-11,26-15,20-10,36-16,6-4,9-1,5-5,10-8,15-3,11-5,41-19,2022
3,Golden State Warriors,53-29,31-10,22-19,20-10,33-19,6-4,8-2,6-4,12-6,12-4,9-9,42-17,2022
4,Miami Heat,53-29,29-12,24-17,35-17,18-12,10-8,12-6,13-3,6-4,4-6,8-2,38-21,2022
5,Dallas Mavericks,52-30,29-12,23-18,16-14,36-16,6-4,6-4,4-6,12-6,10-8,14-2,35-24,2022
6,Boston Celtics,51-31,28-13,23-18,33-19,18-12,9-7,12-6,12-6,7-3,5-5,6-4,34-26,2022
7,Milwaukee Bucks,51-31,27-14,24-17,33-19,18-12,10-8,12-4,11-7,5-5,7-3,6-4,36-24,2022
8,Philadelphia 76ers,51-31,24-17,27-14,32-20,19-11,6-10,14-4,12-6,5-5,6-4,8-2,35-23,2022
9,Utah Jazz,49-33,29-12,20-21,16-14,33-19,7-3,4-6,5-5,15-1,9-9,9-9,36-22,2022
10,Denver Nuggets,48-34,23-18,25-16,19-11,29-23,6-4,5-5,8-2,6-10,13-5,10-8,33-25,2022
11,Toronto Raptors,48-34,24-17,24-17,30-22,18-12,10-6,8-10,12-6,5-5,7-3,6-4,32-25,2022
12,Chicago Bulls,46-36,27-14,19-22,29-23,17-13,8-10,10-6,11-7,8-2,5-5,4-6,38-21,2022
13,Minnesota Timberwolves,46-36,26-15,20-21,14-16,32-20,4-6,7-3,3-7,12-4,8-10,12-6,31-28,2022
14,Brooklyn Nets,44-38,20-21,24-17,31-21,13-17,10-6,12-6,9-9,4-6,3-7,6-4,31-28,2022
15,Cleveland Cavaliers,44-38,25-16,19-22,27-25,17-13,8-10,10-6,9-9,8-2,4-6,5-5,35-23,2022
16,Atlanta Hawks,43-39,27-14,16-25,26-26,17-13,6-12,11-7,9-7,5-5,6-4,6-4,28-30,2022
17,Charlotte Hornets,43-39,22-19,21-20,27-25,16-14,8-10,11-7,8-8,6-4,3-7,7-3,29-31,2022
18,Los Angeles Clippers,42-40,25-16,17-24,16-14,26-26,4-6,4-6,8-2,10-8,9-7,7-11,30-31,2022
19,New York Knicks,37-45,17-24,20-21,22-30,15-15,5-11,8-10,9-9,2-8,6-4,7-3,25-34,2022
20,New Orleans Pelicans,36-46,19-22,17-24,11-19,25-27,2-8,6-4,3-7,9-9,10-8,6-10,23-36,2022
21,Washington Wizards,35-47,21-20,14-27,24-28,11-19,8-10,9-9,7-9,5-5,2-8,4-6,27-31,2022
22,San Antonio Spurs,34-48,16-25,18-23,10-20,24-28,2-8,3-7,5-5,11-7,7-11,6-10,23-36,2022
23,Los Angeles Lakers,33-49,21-20,12-29,15-15,18-34,4-6,5-5,6-4,8-10,3-13,7-11,27-31,2022
24,Sacramento Kings,30-52,16-25,14-27,10-20,20-32,1-9,3-7,6-4,6-12,6-10,8-10,22-38,2022
25,Portland Trail Blazers,27-55,17-24,10-31,16-14,11-41,6-4,5-5,5-5,1-15,5-13,5-13,25-34,2022
26,Indiana Pacers,25-57,16-25,9-32,11-41,14-16,5-13,2-14,4-14,4-6,4-6,6-4,20-40,2022
27,Oklahoma City Thunder,24-58,12-29,12-29,7-23,17-35,4-6,2-8,1-9,6-10,5-13,6-12,18-40,2022
28,Detroit Pistons,23-59,13-28,10-31,18-34,5-25,5-13,6-10,7-11,2-8,1-9,2-8,13-45,2022
29,Orlando Magic,22-60,12-29,10-31,12-40,10-20,4-14,5-13,3-13,6-4,1-9,3-7,13-47,2022
30,Houston Rockets,20-62,11-30,9-32,9-21,11-41,1-9,3-7,5-5,6-12,2-16,3-13,15-43,2022
