Unnamed: 0_level_0 Rk,Unnamed: 1_level_0 Team,Unnamed: 2_level_0 Overall,Place Home,Place Road,Conference E,Conference W,Division A,Division C,Division SE,Division NW,Division P,Division SW,All-Star Pre,Year
1,Cleveland Cavaliers,61-21,35-6,26-15,38-14,23-7,15-3,12-4,11-7,7-3,10-0,6-4,43-11,2010
2,Orlando Magic,59-23,34-7,25-16,39-13,20-10,16-2,13-5,10-6,6-4,8-2,6-4,36-18,2010
3,Los Angeles Lakers,57-25,34-7,23-18,22-8,35-17,8-2,8-2,6-4,11-7,13-3,11-7,41-13,2010
4,Dallas Mavericks,55-27,28-13,27-14,22-8,33-19,6-4,9-1,7-3,9-9,14-4,10-6,32-20,2010
5,Phoenix Suns,54-28,32-9,22-19,19-11,35-17,9-1,5-5,5-5,11-7,12-4,12-6,31-22,2010
6,Atlanta Hawks,53-29,34-7,19-22,32-20,21-9,13-5,11-7,8-8,7-3,7-3,7-3,33-18,2010
7,Denver Nuggets,53-29,34-7,19-22,19-11,34-18,7-3,7-3,5-5,12-4,11-7,11-7,35-18,2010
8,Utah Jazz,53-29,32-9,21-20,22-8,31-21,9-1,7-3,6-4,8-8,10-8,13-5,32-19,2010
9,Boston Celtics,50-32,24-17,26-15,33-19,17-13,13-3,10-8,10-8,7-3,5-5,5-5,32-18,2010
10,Oklahoma City Thunder,50-32,27-14,23-18,22-8,28-24,9-1,5-5,8-2,9-7,11-7,8-10,30-21,2010
11,Portland Trail Blazers,50-32,26-15,24-17,17-13,33-19,6-4,6-4,5-5,8-8,13-5,12-6,31-24,2010
12,San Antonio Spurs,50-32,29-12,21-20,19-11,31-21,6-4,6-4,7-3,8-10,14-4,9-7,30-21,2010
13,Miami Heat,47-35,24-17,23-18,32-20,15-15,13-5,10-8,9-7,4-6,7-3,4-6,26-27,2010
14,Milwaukee Bucks,46-36,28-13,18-23,31-21,15-15,13-5,10-6,8-10,7-3,5-5,3-7,24-27,2010
15,Charlotte Bobcats,44-38,31-10,13-28,27-25,17-13,8-10,9-9,10-6,4-6,8-2,5-5,26-25,2010
16,Houston Rockets,42-40,23-18,19-22,14-16,28-24,7-3,4-6,3-7,11-7,8-10,9-7,27-24,2010
17,Chicago Bulls,41-41,24-17,17-24,28-24,13-17,10-8,10-6,8-10,4-6,3-7,6-4,25-26,2010
18,Memphis Grizzlies,40-42,23-18,17-24,18-12,22-30,8-2,6-4,4-6,8-10,9-9,5-11,26-25,2010
19,Toronto Raptors,40-42,25-16,15-26,29-23,11-19,11-5,10-8,8-10,2-8,4-6,5-5,29-23,2010
20,New Orleans Hornets,37-45,24-17,13-28,11-19,26-26,2-8,4-6,5-5,8-10,11-7,7-9,28-25,2010
21,Indiana Pacers,32-50,23-18,9-32,23-29,9-21,11-7,6-10,6-12,3-7,4-6,2-8,18-34,2010
22,Los Angeles Clippers,29-53,21-20,8-33,14-16,15-37,4-6,6-4,4-6,7-11,5-11,3-15,21-31,2010
23,New York Knicks,29-53,18-23,11-30,20-32,9-21,6-10,6-12,8-10,3-7,3-7,3-7,19-32,2010
24,Detroit Pistons,27-55,17-24,10-31,18-34,9-21,7-11,2-14,9-9,3-7,2-8,4-6,18-33,2010
25,Philadelphia 76ers,27-55,12-29,15-26,14-38,13-17,7-9,5-13,2-16,3-7,4-6,6-4,20-32,2010
26,Golden State Warriors,26-56,18-23,8-33,11-19,15-37,7-3,3-7,1-9,6-12,5-11,4-14,14-37,2010
27,Washington Wizards,26-56,15-26,11-30,18-34,8-22,10-8,5-13,3-13,3-7,3-7,2-8,17-33,2010
28,Sacramento Kings,25-57,18-23,7-34,9-21,16-36,4-6,4-6,1-9,7-11,5-11,4-14,18-34,2010
29,Minnesota Timberwolves,15-67,10-31,5-36,7-23,8-44,4-6,1-9,2-8,3-13,3-15,2-16,13-40,2010
30,New Jersey Nets,12-70,8-33,4-37,8-44,4-26,3-13,3-15,2-16,0-10,2-8,2-8,4-48,2010
