Unnamed: 0_level_0 Rk,Unnamed: 1_level_0 Team,Unnamed: 2_level_0 Overall,Place Home,Place Road,Conference E,Conference W,Division A,Division C,Division SE,Division NW,Division P,Division SW,All-Star Pre,Year
1,Miami Heat,66-16,37-4,29-12,41-11,25-5,14-4,12-6,15-1,8-2,8-2,9-1,36-14,2013
2,Oklahoma City Thunder,60-22,34-7,26-15,21-9,39-13,7-3,8-2,6-4,10-6,16-2,13-5,39-14,2013
3,San Antonio Spurs,58-24,35-6,23-18,25-5,33-19,8-2,9-1,8-2,9-9,12-6,12-4,42-12,2013
4,Denver Nuggets,57-25,38-3,19-22,19-11,38-14,5-5,10-0,4-6,11-5,14-4,13-5,33-21,2013
5,Los Angeles Clippers,56-26,32-9,24-17,21-9,35-17,7-3,8-2,6-4,12-6,11-5,12-6,39-17,2013
6,Memphis Grizzlies,56-26,32-9,24-17,22-8,34-18,8-2,8-2,6-4,12-6,12-6,10-6,33-18,2013
7,New York Knicks,54-28,31-10,23-18,37-15,17-13,10-6,12-6,15-3,6-4,5-5,6-4,32-18,2013
8,Brooklyn Nets,49-33,26-15,23-18,36-16,13-17,11-5,13-5,12-6,5-5,5-5,3-7,31-22,2013
9,Indiana Pacers,49-32,30-11,19-21,31-20,18-12,6-11,13-3,12-6,3-7,7-3,8-2,32-21,2013
10,Golden State Warriors,47-35,28-13,19-22,19-11,28-24,7-3,5-5,7-3,10-8,9-7,9-9,30-22,2013
11,Chicago Bulls,45-37,24-17,21-20,34-18,11-19,13-5,9-7,12-6,4-6,5-5,2-8,30-22,2013
12,Houston Rockets,45-37,29-12,16-25,21-9,24-28,7-3,7-3,7-3,8-10,10-8,6-10,29-26,2013
13,Los Angeles Lakers,45-37,29-12,16-25,17-13,28-24,6-4,6-4,5-5,9-9,8-8,11-7,25-29,2013
14,Atlanta Hawks,44-38,25-16,19-22,29-23,15-15,7-11,11-7,11-5,6-4,5-5,4-6,29-22,2013
15,Utah Jazz,43-39,30-11,13-28,17-13,26-26,5-5,5-5,7-3,9-7,9-9,8-10,30-24,2013
16,Boston Celtics,41-40,27-13,14-27,27-24,14-16,7-9,8-9,12-6,6-4,6-4,2-8,28-24,2013
17,Dallas Mavericks,41-41,24-17,17-24,17-13,24-28,5-5,6-4,6-4,7-11,10-8,7-9,23-29,2013
18,Milwaukee Bucks,38-44,21-20,17-24,24-28,14-16,11-7,7-9,6-12,4-6,7-3,3-7,26-25,2013
19,Philadelphia 76ers,34-48,23-18,11-30,22-30,12-18,7-9,7-11,8-10,3-7,5-5,4-6,22-29,2013
20,Toronto Raptors,34-48,21-20,13-28,22-30,12-18,5-11,8-10,9-9,4-6,4-6,4-6,21-32,2013
21,Portland Trail Blazers,33-49,22-19,11-30,15-15,18-34,5-5,5-5,5-5,6-10,5-13,7-11,25-28,2013
22,Minnesota Timberwolves,31-51,20-21,11-30,14-16,17-35,4-6,7-3,3-7,4-12,5-13,8-10,19-31,2013
23,Detroit Pistons,29-53,18-23,11-30,25-27,4-26,6-12,8-8,11-7,1-9,2-8,1-9,21-33,2013
24,Washington Wizards,29-53,22-19,7-34,15-37,14-16,5-13,5-13,5-11,6-4,4-6,4-6,15-36,2013
25,Sacramento Kings,28-54,20-21,8-33,14-16,14-38,4-6,4-6,6-4,5-13,7-9,2-16,19-35,2013
26,New Orleans Hornets,27-55,16-25,11-30,12-18,15-37,3-7,5-5,4-6,5-13,5-13,5-11,19-34,2013
27,Phoenix Suns,25-57,17-24,8-33,8-22,17-35,1-9,4-6,3-7,5-13,5-11,7-11,17-36,2013
28,Cleveland Cavaliers,24-58,14-27,10-31,18-34,6-24,5-13,3-13,10-8,3-7,2-8,1-9,16-37,2013
29,Charlotte Bobcats,21-61,15-26,6-35,18-34,3-27,6-12,6-12,6-10,2-8,0-10,1-9,12-40,2013
30,Orlando Magic,20-62,12-29,8-33,10-42,10-20,2-16,5-13,3-13,3-7,6-4,1-9,15-37,2013
