Unnamed: 0_level_0 Rk,Unnamed: 1_level_0 Team,Unnamed: 2_level_0 Overall,Place Home,Place Road,Conference E,Conference W,Division A,Division C,Division SE,Division NW,Division P,Division SW,All-Star Pre,Year
1,Cleveland Cavaliers,66-16,39-2,27-14,40-12,26-4,15-3,13-3,12-6,10-0,8-2,8-2,40-11,2009
2,Los Angeles Lakers,65-17,36-5,29-12,21-9,44-8,9-1,8-2,4-6,14-4,14-2,16-2,42-10,2009
3,Boston Celtics,62-20,35-6,27-14,41-11,21-9,15-1,12-6,14-4,7-3,6-4,8-2,44-11,2009
4,Orlando Magic,59-23,32-9,27-14,37-15,22-8,12-6,11-7,14-2,8-2,9-1,5-5,38-13,2009
5,Denver Nuggets,54-28,33-8,21-20,19-11,35-17,8-2,3-7,8-2,12-4,11-7,12-6,36-17,2009
6,Portland Trail Blazers,54-28,34-7,20-21,22-8,32-20,7-3,8-2,7-3,11-5,11-7,10-8,32-20,2009
7,San Antonio Spurs,54-28,28-13,26-15,18-12,36-16,6-4,5-5,7-3,11-7,15-3,10-6,35-16,2009
8,Houston Rockets,53-29,33-8,20-21,18-12,35-17,5-5,5-5,8-2,14-4,12-6,9-7,32-21,2009
9,Dallas Mavericks,50-32,32-9,18-23,21-9,29-23,7-3,6-4,8-2,11-7,11-7,7-9,31-21,2009
10,New Orleans Hornets,49-33,28-13,21-20,19-11,30-22,6-4,7-3,6-4,10-8,11-7,9-7,30-20,2009
11,Utah Jazz,48-34,33-8,15-26,15-15,33-19,7-3,5-5,3-7,10-6,12-6,11-7,30-23,2009
12,Atlanta Hawks,47-35,31-10,16-25,30-22,17-13,6-12,13-5,11-5,7-3,5-5,5-5,31-21,2009
13,Phoenix Suns,46-36,28-13,18-23,16-14,30-22,5-5,5-5,6-4,12-6,11-5,7-11,28-23,2009
14,Miami Heat,43-39,28-13,15-26,28-24,15-15,9-9,10-8,9-7,5-5,8-2,2-8,28-24,2009
15,Chicago Bulls,41-41,28-13,13-28,24-28,17-13,9-9,9-7,6-12,4-6,8-2,5-5,23-30,2009
16,Philadelphia 76ers,41-41,24-17,17-24,25-27,16-14,6-10,10-8,9-9,4-6,7-3,5-5,27-24,2009
17,Detroit Pistons,39-43,21-20,18-23,26-26,13-17,9-9,7-9,10-8,4-6,7-3,2-8,27-24,2009
18,Indiana Pacers,36-46,25-16,11-30,23-29,13-17,8-10,7-9,8-10,4-6,6-4,3-7,21-33,2009
19,Charlotte Bobcats,35-47,23-18,12-29,20-32,15-15,9-9,6-12,5-11,4-6,8-2,3-7,21-31,2009
20,Milwaukee Bucks,34-48,22-19,12-29,21-31,13-17,8-10,4-12,9-9,4-6,4-6,5-5,26-29,2009
21,New Jersey Nets,34-48,19-22,15-26,23-29,11-19,8-8,6-12,9-9,4-6,4-6,3-7,24-29,2009
22,Toronto Raptors,33-49,18-23,15-26,22-30,11-19,6-10,7-11,9-9,3-7,5-5,3-7,21-34,2009
23,New York Knicks,32-50,20-21,12-29,20-32,12-18,5-11,6-12,9-9,3-7,3-7,6-4,21-31,2009
24,Golden State Warriors,29-53,21-20,8-33,11-19,18-34,6-4,2-8,3-7,9-9,6-10,3-15,19-35,2009
25,Memphis Grizzlies,24-58,16-25,8-33,10-20,14-38,1-9,4-6,5-5,1-17,8-10,5-11,15-37,2009
26,Minnesota Timberwolves,24-58,11-30,13-28,11-19,13-39,3-7,6-4,2-8,3-13,6-12,4-14,17-34,2009
27,Oklahoma City Thunder,23-59,15-26,8-33,8-22,15-37,4-6,2-8,2-8,4-12,5-13,6-12,13-40,2009
28,Los Angeles Clippers,19-63,11-30,8-33,9-21,10-42,4-6,2-8,3-7,5-13,2-14,3-15,13-40,2009
29,Washington Wizards,19-63,13-28,6-35,10-42,9-21,4-14,5-13,1-15,4-6,4-6,1-9,11-42,2009
30,Sacramento Kings,17-65,11-30,6-35,1-29,16-36,1-9,0-10,0-10,5-13,7-9,4-14,11-43,2009
