Unnamed: 0_level_0 Rk,Unnamed: 1_level_0 Team,Unnamed: 2_level_0 Overall,Place Home,Place Road,Conference E,Conference W,Division A,Division C,Division SE,Division NW,Division P,Division SW,All-Star Pre,Year
1,Detroit Pistons,64-18,37-4,27-14,39-13,25-5,14-4,13-3,12-6,7-3,9-1,9-1,42-9,2006
2,San Antonio Spurs,63-19,34-7,29-12,21-9,42-10,9-1,5-5,7-3,15-3,14-4,13-3,40-12,2006
3,Dallas Mavericks,60-22,34-7,26-15,23-7,37-15,7-3,7-3,9-1,15-3,9-9,13-3,41-11,2006
4,Phoenix Suns,54-28,31-10,23-18,22-8,32-20,8-2,6-4,8-2,12-6,10-6,10-8,35-17,2006
5,Miami Heat,52-30,31-10,21-20,35-17,17-13,13-5,9-9,13-3,7-3,5-5,5-5,33-20,2006
6,Cleveland Cavaliers,50-32,31-10,19-22,34-18,16-14,12-6,11-5,11-7,6-4,4-6,6-4,31-21,2006
7,Memphis Grizzlies,49-33,30-11,19-22,18-12,31-21,6-4,4-6,8-2,12-6,13-5,6-10,29-23,2006
8,New Jersey Nets,49-33,29-12,20-21,33-19,16-14,10-6,9-9,14-4,6-4,5-5,5-5,28-23,2006
9,Los Angeles Clippers,47-35,27-14,20-21,20-10,27-25,7-3,4-6,9-1,14-4,7-9,6-12,30-21,2006
10,Los Angeles Lakers,45-37,27-14,18-23,18-12,27-25,6-4,6-4,6-4,9-9,9-7,9-9,26-26,2006
11,Denver Nuggets,44-38,26-15,18-23,19-11,25-27,6-4,6-4,7-3,10-6,6-12,9-9,28-26,2006
12,Sacramento Kings,44-38,27-14,17-24,14-16,30-22,5-5,5-5,4-6,12-6,10-6,8-10,24-29,2006
13,Washington Wizards,42-40,27-14,15-26,29-23,13-17,11-7,10-8,8-8,5-5,6-4,2-8,26-25,2006
14,Chicago Bulls,41-41,21-20,20-21,30-22,11-19,14-4,4-12,12-6,4-6,3-7,4-6,23-29,2006
15,Indiana Pacers,41-41,27-14,14-27,24-28,17-13,9-9,6-10,9-9,6-4,7-3,4-6,26-23,2006
16,Utah Jazz,41-41,22-19,19-22,15-15,26-26,5-5,5-5,5-5,11-5,8-10,7-11,25-27,2006
17,Milwaukee Bucks,40-42,25-16,15-26,29-23,11-19,12-6,6-10,11-7,5-5,2-8,4-6,27-25,2006
18,New Orleans/Oklahoma City Hornets,38-44,24-17,14-27,13-17,25-27,5-5,2-8,6-4,10-8,8-10,7-9,29-23,2006
19,Philadelphia 76ers,38-44,23-18,15-26,22-30,16-14,10-6,6-12,6-12,5-5,5-5,6-4,25-27,2006
20,Orlando Magic,36-46,26-15,10-31,24-28,12-18,10-8,5-13,9-7,5-5,3-7,4-6,19-32,2006
21,Seattle SuperSonics,35-47,22-19,13-28,15-15,20-32,5-5,5-5,5-5,10-6,6-12,4-14,20-33,2006
22,Golden State Warriors,34-48,21-20,13-28,15-15,19-33,7-3,4-6,4-6,10-8,4-12,5-13,24-28,2006
23,Houston Rockets,34-48,15-26,19-22,15-15,19-33,5-5,5-5,5-5,10-8,8-10,1-15,22-31,2006
24,Boston Celtics,33-49,21-20,12-29,19-33,14-16,10-6,3-15,6-12,6-4,4-6,4-6,20-32,2006
25,Minnesota Timberwolves,33-49,24-17,9-32,13-17,20-32,4-6,4-6,5-5,6-10,9-9,5-13,23-29,2006
26,Toronto Raptors,27-55,15-26,12-29,20-32,7-23,6-10,4-14,10-8,4-6,1-9,2-8,20-33,2006
27,Atlanta Hawks,26-56,18-23,8-33,19-33,7-23,7-11,7-11,5-11,2-8,2-8,3-7,16-34,2006
28,Charlotte Bobcats,26-56,17-24,9-32,18-34,8-22,9-9,4-14,5-11,4-6,3-7,1-9,14-40,2006
29,New York Knicks,23-59,15-26,8-33,15-37,8-22,4-12,7-11,4-14,5-5,2-8,1-9,15-37,2006
30,Portland Trail Blazers,21-61,15-26,6-35,11-19,10-42,4-6,2-8,5-5,3-13,4-14,3-15,18-33,2006
