Unnamed: 0_level_0 Rk,Unnamed: 1_level_0 Team,Unnamed: 2_level_0 Overall,Place Home,Place Road,Conference E,Conference W,Division A,Division C,Division SE,Division NW,Division P,Division SW,All-Star Pre,Year
1,Milwaukee Bucks,58-24,32-9,26-15,35-17,23-7,12-6,11-5,12-6,9-1,8-2,6-4,41-17,2023
2,Boston Celtics,57-25,32-9,25-16,34-18,23-7,11-5,11-7,12-6,7-3,7-3,9-1,42-17,2023
3,Philadelphia 76ers,54-28,29-12,25-16,34-18,20-10,10-6,13-5,11-7,7-3,8-2,5-5,38-19,2023
4,Denver Nuggets,53-29,34-7,19-22,19-11,34-18,4-6,7-3,8-2,10-6,13-5,11-7,41-18,2023
5,Cleveland Cavaliers,51-31,31-10,20-21,34-18,17-13,8-10,13-3,13-5,4-6,5-5,8-2,38-23,2023
6,Memphis Grizzlies,51-31,35-6,16-25,21-9,30-22,5-5,8-2,8-2,9-9,8-10,13-3,35-22,2023
7,Sacramento Kings,48-34,23-18,25-16,16-14,32-20,4-6,7-3,5-5,11-7,9-7,12-6,32-25,2023
8,New York Knicks,47-35,23-18,24-17,32-20,15-15,8-8,12-6,12-6,7-3,4-6,4-6,33-27,2023
9,Brooklyn Nets,45-37,23-18,22-19,30-22,15-15,7-9,7-11,16-2,6-4,4-6,5-5,34-24,2023
10,Phoenix Suns,45-37,28-13,17-24,15-15,30-22,6-4,6-4,3-7,11-7,9-7,10-8,32-28,2023
11,Golden State Warriors,44-38,33-8,11-30,14-16,30-22,5-5,4-6,5-5,10-8,7-9,13-5,29-29,2023
12,Los Angeles Clippers,44-38,23-18,21-20,17-13,27-25,6-4,6-4,5-5,6-12,9-7,12-6,33-28,2023
13,Miami Heat,44-38,27-14,17-24,24-28,20-10,6-12,8-10,10-6,6-4,7-3,7-3,32-27,2023
14,Los Angeles Lakers,43-39,23-18,20-21,16-14,27-25,3-7,5-5,8-2,9-9,6-10,12-6,27-32,2023
15,Minnesota Timberwolves,42-40,22-19,20-21,13-17,29-23,4-6,5-5,4-6,8-8,10-8,11-7,31-30,2023
16,New Orleans Pelicans,42-40,27-14,15-26,13-17,29-23,4-6,5-5,4-6,9-9,9-9,11-5,30-29,2023
17,Atlanta Hawks,41-41,24-17,17-24,26-26,15-15,6-12,12-6,8-8,4-6,6-4,5-5,29-30,2023
18,Toronto Raptors,41-41,27-14,14-27,26-26,15-15,4-12,10-8,12-6,5-5,3-7,7-3,28-31,2023
19,Chicago Bulls,40-42,22-19,18-23,27-25,13-17,9-9,7-9,11-7,6-4,2-8,5-5,26-33,2023
20,Oklahoma City Thunder,40-42,24-17,16-25,15-15,25-27,6-4,5-5,4-6,9-7,6-12,10-8,28-29,2023
21,Dallas Mavericks,38-44,23-18,15-26,10-20,28-24,6-4,2-8,2-8,9-9,10-8,9-7,31-29,2023
22,Utah Jazz,37-45,23-18,14-27,13-17,24-28,3-7,4-6,6-4,6-10,8-10,10-8,29-31,2023
23,Indiana Pacers,35-47,20-21,15-26,24-28,11-19,7-11,7-9,10-8,2-8,5-5,4-6,26-34,2023
24,Washington Wizards,35-47,19-22,16-25,21-31,14-16,5-13,8-10,8-8,4-6,3-7,7-3,28-30,2023
25,Orlando Magic,34-48,20-21,14-27,20-32,14-16,8-10,5-13,7-9,4-6,5-5,5-5,24-35,2023
26,Portland Trail Blazers,33-49,17-24,16-25,10-20,23-29,1-9,3-7,6-4,7-9,6-12,10-8,28-30,2023
27,Charlotte Hornets,27-55,13-28,14-27,15-37,12-18,2-16,6-12,7-9,4-6,3-7,5-5,17-43,2023
28,Houston Rockets,22-60,14-27,8-33,10-20,12-40,2-8,4-6,4-6,5-13,3-15,4-12,13-45,2023
29,San Antonio Spurs,22-60,14-27,8-33,12-18,10-42,3-7,6-4,3-7,6-12,1-17,3-13,14-45,2023
30,Detroit Pistons,17-65,9-32,8-33,8-44,9-21,1-17,2-14,5-13,5-5,2-8,2-8,15-44,2023
