Unnamed: 0_level_0 Rk,Unnamed: 1_level_0 Team,Unnamed: 2_level_0 Overall,Place Home,Place Road,Conference E,Conference W,Division A,Division C,Division SE,Division NW,Division P,Division SW,All-Star Pre,Year
1,Milwaukee Bucks,56-17,30-5,26-12,37-7,19-10,10-4,13-1,14-2,7-3,7-2,5-5,46-8,2020
2,Toronto Raptors,53-19,26-10,27-9,34-11,19-8,9-5,13-3,12-3,7-3,7-2,5-3,40-15,2020
3,Los Angeles Lakers,52-19,25-10,27-9,16-9,36-10,5-5,4-3,7-1,12-3,10-3,14-4,41-12,2020
4,Los Angeles Clippers,49-23,27-9,22-14,17-7,32-16,5-3,4-3,8-1,11-5,8-6,13-5,37-18,2020
5,Boston Celtics,48-24,26-10,22-14,30-13,18-11,9-6,9-4,12-3,6-3,6-4,6-4,38-16,2020
6,Denver Nuggets,46-27,26-11,20-16,17-11,29-16,6-4,4-4,7-3,12-2,9-7,8-7,38-17,2020
7,Indiana Pacers,45-28,25-11,20-17,28-19,17-9,9-7,8-7,11-5,7-3,5-2,5-4,32-23,2020
8,Houston Rockets,44-28,24-12,20-16,16-9,28-19,6-3,4-3,6-3,10-8,10-6,8-5,34-20,2020
9,Miami Heat,44-29,29-7,15-22,30-13,14-16,9-6,11-3,10-4,4-6,4-6,6-4,35-19,2020
10,Oklahoma City Thunder,44-28,23-14,21-14,17-9,27-19,5-3,6-4,6-2,8-5,9-8,10-6,33-22,2020
11,Utah Jazz,44-28,23-12,21-16,20-7,24-21,6-4,6-2,8-1,5-7,9-6,10-8,36-18,2020
12,Dallas Mavericks,43-32,20-18,23-14,16-12,27-20,4-5,7-2,5-5,9-6,8-10,10-4,33-22,2020
13,Philadelphia 76ers,43-30,31-4,12-26,28-18,15-12,11-5,10-6,7-7,5-4,5-5,5-3,34-21,2020
14,Brooklyn Nets,35-37,20-16,15-21,23-23,12-14,6-10,8-4,9-9,2-7,6-2,4-5,25-28,2020
15,Portland Trail Blazers,35-39,21-15,14-24,15-12,20-27,4-6,4-4,7-2,5-8,7-10,8-9,25-31,2020
16,Memphis Grizzlies,34-39,20-17,14-22,14-13,20-26,3-4,4-6,7-3,8-7,8-10,4-9,28-26,2020
17,Phoenix Suns,34-39,17-22,17-17,15-12,19-27,6-4,3-4,6-4,6-9,6-9,7-9,22-33,2020
18,Orlando Magic,33-40,18-17,15-23,20-23,13-17,6-10,5-8,9-5,2-8,5-5,6-4,24-31,2020
19,San Antonio Spurs,32-39,19-15,13-24,12-16,20-23,5-5,2-6,5-5,6-9,7-8,7-6,23-31,2020
20,Sacramento Kings,31-41,16-19,15-22,8-18,23-23,2-8,2-5,4-5,7-9,8-5,8-9,21-33,2020
21,New Orleans Pelicans,30-42,15-21,15-21,12-12,18-30,2-6,7-3,3-3,9-9,5-12,4-9,23-32,2020
22,Washington Wizards,25-47,16-20,9-27,18-27,7-20,8-7,5-11,5-9,3-7,2-7,2-6,20-33,2020
23,Charlotte Hornets,23-42,10-21,13-21,16-24,7-18,5-9,9-8,2-7,1-7,4-4,2-7,18-36,2020
24,Chicago Bulls,22-43,14-20,8-23,15-28,7-15,1-12,7-9,7-7,1-6,2-5,4-4,19-36,2020
25,New York Knicks,21-45,11-22,10-23,15-28,6-17,2-11,8-8,5-9,1-6,2-6,3-5,17-38,2020
26,Atlanta Hawks,20-47,14-20,6-27,11-32,9-15,3-13,2-12,6-7,3-5,3-5,3-5,15-41,2020
27,Detroit Pistons,20-46,11-22,9-24,12-31,8-15,3-11,5-10,4-10,1-7,4-3,3-5,19-38,2020
28,Cleveland Cavaliers,19-46,11-25,8-21,12-32,7-14,2-14,4-10,6-8,4-4,0-4,3-6,14-40,2020
29,Minnesota Timberwolves,19-45,8-24,11-21,10-15,9-30,2-4,3-6,5-5,2-10,4-8,3-12,16-37,2020
30,Golden State Warriors,15-50,8-26,7-24,6-16,9-34,1-6,3-3,2-7,3-12,2-11,4-11,12-43,2020
