Unnamed: 0_level_0 Rk,Unnamed: 1_level_0 Team,Unnamed: 2_level_0 Overall,Place Home,Place Road,Conference E,Conference W,Division A,Division C,Division SE,Division NW,Division P,Division SW,All-Star Pre,Year
1,Chicago Bulls,62-20,36-5,26-15,39-13,23-7,10-8,15-1,14-4,7-3,7-3,9-1,38-16,2011
2,San Antonio Spurs,61-21,36-5,25-16,23-7,38-14,6-4,9-1,8-2,14-4,14-4,10-6,46-10,2011
3,Miami Heat,58-24,30-11,28-13,38-14,20-10,13-5,12-6,13-3,6-4,9-1,5-5,41-15,2011
4,Dallas Mavericks,57-25,29-12,28-13,22-8,35-17,9-1,4-6,9-1,12-6,15-3,8-8,40-16,2011
5,Los Angeles Lakers,57-25,30-11,27-14,21-9,36-16,9-1,6-4,6-4,12-6,12-4,12-6,38-19,2011
6,Boston Celtics,56-26,33-8,23-18,37-15,19-11,13-3,13-5,11-7,8-2,7-3,4-6,40-14,2011
7,Oklahoma City Thunder,55-27,30-11,25-16,22-8,33-19,6-4,8-2,8-2,13-3,12-6,8-10,35-19,2011
8,Orlando Magic,52-30,29-12,23-18,36-16,16-14,12-6,13-5,11-5,4-6,7-3,5-5,36-21,2011
9,Denver Nuggets,50-32,33-8,17-24,20-10,30-22,5-5,8-2,7-3,9-7,12-6,9-9,32-25,2011
10,Portland Trail Blazers,48-34,30-11,18-23,18-12,30-22,5-5,8-2,5-5,10-6,10-8,10-8,32-24,2011
11,Memphis Grizzlies,46-36,30-11,16-25,16-14,30-22,5-5,7-3,4-6,11-7,11-7,8-8,31-26,2011
12,New Orleans Hornets,46-36,28-13,18-23,19-11,27-25,4-6,6-4,9-1,9-9,9-9,9-7,33-25,2011
13,Atlanta Hawks,44-38,24-17,20-21,31-21,13-17,10-8,12-6,9-7,5-5,6-4,2-8,34-21,2011
14,Houston Rockets,43-39,25-16,18-23,18-12,25-27,7-3,7-3,4-6,9-9,11-7,5-11,26-31,2011
15,New York Knicks,42-40,23-18,19-22,28-24,14-16,10-6,8-10,10-8,5-5,4-6,5-5,28-26,2011
16,Philadelphia 76ers,41-41,26-15,15-26,25-27,16-14,9-7,9-9,7-11,6-4,6-4,4-6,27-29,2011
17,Phoenix Suns,40-42,23-18,17-24,17-13,23-29,6-4,7-3,4-6,9-9,9-7,5-13,27-27,2011
18,Utah Jazz,39-43,21-20,18-23,18-12,21-31,5-5,7-3,6-4,7-9,9-9,5-13,31-26,2011
19,Indiana Pacers,37-45,24-17,13-28,28-24,9-21,10-8,9-7,9-9,3-7,4-6,2-8,24-30,2011
20,Golden State Warriors,36-46,26-15,10-31,15-15,21-31,5-5,6-4,4-6,11-7,5-11,5-13,26-29,2011
21,Milwaukee Bucks,35-47,22-19,13-28,26-26,9-21,12-6,6-10,8-10,2-8,4-6,3-7,21-34,2011
22,Charlotte Bobcats,34-48,21-20,13-28,22-30,12-18,11-7,7-11,4-12,4-6,6-4,2-8,24-32,2011
23,Los Angeles Clippers,32-50,23-18,9-32,13-17,19-33,3-7,5-5,5-5,7-11,7-9,5-13,21-35,2011
24,Detroit Pistons,30-52,21-20,9-32,22-30,8-22,9-9,7-9,6-12,1-9,5-5,2-8,21-36,2011
25,New Jersey Nets,24-58,19-22,5-36,13-39,11-19,3-13,6-12,4-14,4-6,4-6,3-7,17-40,2011
26,Sacramento Kings,24-58,11-30,13-28,9-21,15-37,4-6,3-7,2-8,5-13,7-9,3-15,13-40,2011
27,Washington Wizards,23-59,20-21,3-38,16-36,7-23,8-10,5-13,3-13,4-6,1-9,2-8,15-39,2011
28,Toronto Raptors,22-60,16-25,6-35,14-38,8-22,5-11,5-13,4-14,3-7,2-8,3-7,15-41,2011
29,Cleveland Cavaliers,19-63,12-29,7-34,15-37,4-26,8-10,3-13,4-14,0-10,3-7,1-9,10-46,2011
30,Minnesota Timberwolves,17-65,12-29,5-36,10-20,7-45,3-7,6-4,1-9,1-15,3-15,3-15,13-43,2011
