Unnamed: 0_level_0 Unnamed: 0_level_1 Coach,Unnamed: 1_level_0 Unnamed: 1_level_1 Tm,Seasons w/ Franch #,Seasons Overall #,Regular Season Current Season G,Regular Season Current Season W,Regular Season Current Season L,Regular Season w/ Franchise G,Regular Season w/ Franchise W,Regular Season w/ Franchise L,Regular Season Career G,Regular Season Career W,Regular Season Career L,Regular Season Career W%,Playoffs Current Season G,Playoffs Current Season W,Playoffs Current Season L,Playoffs w/ Franchise G,Playoffs w/ Franchise W,Playoffs w/ Franchise L,Playoffs Career G,Playoffs Career W,Playoffs Career L
Nate McMillan,ATL,3,19,59,29,30,179,99,80,1428,760,668,0.532,0.0,0.0,0.0,23.0,11.0,12.0,76.0,28.0,48.0
Joe Prunty,ATL,1,2,2,2,0,2,2,0,39,23,16,0.59,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,4.0
Quin Snyder,ATL,1,9,21,10,11,21,10,11,657,382,275,0.581,6.0,2.0,4.0,6.0,2.0,4.0,57.0,23.0,34.0
Joe Mazzulla,BOS,1,1,82,57,25,82,57,25,82,57,25,0.695,20.0,11.0,9.0,20.0,11.0,9.0,20.0,11.0,9.0
Steve Nash,BRK,3,3,7,2,5,161,94,67,161,94,67,0.584,0.0,0.0,0.0,16.0,7.0,9.0,16.0,7.0,9.0
Jacque Vaughn,BRK,2,5,75,43,32,85,50,35,301,108,193,0.359,4.0,0.0,4.0,8.0,0.0,8.0,8.0,0.0,8.0
Billy Donovan,CHI,3,8,82,40,42,236,117,119,636,360,276,0.566,0.0,0.0,0.0,5.0,1.0,4.0,46.0,19.0,27.0
Steve Clifford,CHO,6,9,82,27,55,492,223,269,719,319,400,0.444,0.0,0.0,0.0,11.0,3.0,8.0,21.0,5.0,16.0
J.B. Bickerstaff,CLE,4,7,82,51,31,247,122,125,463,207,256,0.447,5.0,1.0,4.0,5.0,1.0,4.0,10.0,2.0,8.0
Jason Kidd,DAL,2,7,82,38,44,164,90,74,537,273,264,0.508,0.0,0.0,0.0,18.0,9.0,9.0,42.0,18.0,24.0
Michael Malone,DEN,8,10,82,53,29,637,367,270,743,406,337,0.546,20.0,16.0,4.0,68.0,37.0,31.0,68.0,37.0,31.0
Dwane Casey,DET,5,14,82,17,65,384,121,263,1064,494,570,0.464,0.0,0.0,0.0,4.0,0.0,4.0,55.0,21.0,34.0
Steve Kerr,GSW,9,9,82,44,38,711,473,238,711,473,238,0.665,13.0,6.0,7.0,140.0,99.0,41.0,140.0,99.0,41.0
Stephen Silas,HOU,3,3,82,22,60,236,59,177,236,59,177,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rick Carlisle,IND,6,21,82,35,47,492,241,251,1689,896,793,0.53,0.0,0.0,0.0,35.0,18.0,17.0,133.0,63.0,70.0
Tyronn Lue,LAC,3,7,82,44,38,236,133,103,447,261,186,0.584,5.0,1.0,4.0,24.0,11.0,13.0,85.0,52.0,33.0
Darvin Ham,LAL,1,1,82,43,39,82,43,39,82,43,39,0.524,16.0,8.0,8.0,16.0,8.0,8.0,16.0,8.0,8.0
Taylor Jenkins,MEM,4,4,82,51,31,309,179,130,309,179,130,0.579,6.0,2.0,4.0,23.0,9.0,14.0,23.0,9.0,14.0
Erik Spoelstra,MIA,15,15,82,44,38,1195,704,491,1195,704,491,0.589,23.0,13.0,10.0,184.0,109.0,75.0,184.0,109.0,75.0
Mike Budenholzer,MIL,5,10,82,58,24,391,271,120,801,484,317,0.604,5.0,1.0,4.0,65.0,39.0,26.0,104.0,56.0,48.0
Chris Finch,MIN,3,3,82,42,40,205,104,101,205,104,101,0.507,5.0,1.0,4.0,11.0,3.0,8.0,11.0,3.0,8.0
Willie Green,NOP,2,2,82,42,40,164,78,86,164,78,86,0.476,0.0,0.0,0.0,6.0,2.0,4.0,6.0,2.0,4.0
Tom Thibodeau,NYK,3,11,82,47,35,236,125,111,834,477,357,0.572,11.0,6.0,5.0,16.0,7.0,9.0,72.0,31.0,41.0
Mark Daigneault,OKC,3,3,82,40,42,236,86,150,236,86,150,0.364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamahl Mosley,ORL,2,2,82,34,48,164,56,108,164,56,108,0.341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doc Rivers,PHI,3,24,82,54,28,236,154,82,1860,1097,763,0.59,11.0,7.0,4.0,35.0,20.0,15.0,215.0,111.0,104.0
Monty Williams,PHO,4,9,82,45,37,309,194,115,703,367,336,0.522,11.0,6.0,5.0,46.0,27.0,19.0,56.0,29.0,27.0
Chauncey Billups,POR,2,2,82,33,49,164,60,104,164,60,104,0.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Brown,SAC,1,9,82,48,34,82,48,34,645,395,250,0.612,7.0,3.0,4.0,7.0,3.0,4.0,90.0,50.0,40.0
Gregg Popovich,SAS,27,27,82,22,60,2127,1366,761,2127,1366,761,0.642,0.0,0.0,0.0,284.0,170.0,114.0,284.0,170.0,114.0
Nick Nurse,TOR,5,5,82,41,41,390,227,163,390,227,163,0.582,0.0,0.0,0.0,41.0,25.0,16.0,41.0,25.0,16.0
Will Hardy,UTA,1,1,82,37,45,82,37,45,82,37,45,0.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wes Unseld,WAS,2,2,82,35,47,164,70,94,164,70,94,0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
