Unnamed: 0_level_0 Unnamed: 0_level_1 Coach,Unnamed: 1_level_0 Unnamed: 1_level_1 Tm,Unnamed: 2_level_0 Unnamed: 2_level_1 Unnamed: 2_level_2,Seasons w/ Franch #,Seasons Overall #,Unnamed: 5_level_0 Unnamed: 5_level_1 Unnamed: 5_level_2,Regular Season Current Season G,Regular Season Current Season W,Regular Season Current Season L,Regular Season w/ Franchise G,Regular Season w/ Franchise W,Regular Season w/ Franchise L,Regular Season Career G,Regular Season Career W,Regular Season Career L,Regular Season Career W%,Unnamed: 16_level_0 Unnamed: 16_level_1 Unnamed: 16_level_2,Playoffs Current Season G,Playoffs Current Season W,Playoffs Current Season L,Playoffs w/ Franchise G,Playoffs w/ Franchise W,Playoffs w/ Franchise L,Playoffs Career G,Playoffs Career W,Playoffs Career L
Lloyd Pierce,ATL,,1,1,,82,29,53,82,29,53,82,29,53,0.354,,,,,,,,,,
Brad Stevens,BOS,,6,6,,82,49,33,492,270,222,492,270,222,0.549,,9.0,5.0,4.0,56.0,27.0,29.0,56.0,27.0,29.0
Kenny Atkinson,BRK,,3,3,,82,42,40,246,90,156,246,90,156,0.366,,5.0,1.0,4.0,5.0,1.0,4.0,5.0,1.0,4.0
Fred Hoiberg,CHI,,4,4,,24,5,19,270,115,155,270,115,155,0.426,,,,,6.0,2.0,4.0,6.0,2.0,4.0
Jim Boylen,CHI,,1,1,,58,17,41,58,17,41,58,17,41,0.293,,,,,,,,,,
James Borrego,CHO,,1,2,,82,39,43,82,39,43,112,49,63,0.438,,,,,,,,,,
Tyronn Lue,CLE,,4,4,,6,0,6,211,128,83,211,128,83,0.607,,,,,61.0,41.0,20.0,61.0,41.0,20.0
Larry Drew,CLE,,1,5,,76,19,57,76,19,57,388,162,226,0.418,,,,,,,,24.0,10.0,14.0
Rick Carlisle,DAL,,11,17,,82,33,49,886,470,416,1378,751,627,0.545,,,,,58.0,28.0,30.0,120.0,58.0,62.0
Michael Malone,DEN,,4,6,,82,54,28,328,173,155,434,212,222,0.488,,14.0,7.0,7.0,14.0,7.0,7.0,14.0,7.0,7.0
Dwane Casey,DET,,1,10,,82,41,41,82,41,41,762,414,348,0.543,,4.0,0.0,4.0,4.0,0.0,4.0,55.0,21.0,34.0
Steve Kerr,GSW,,5,5,,82,57,25,410,322,88,410,322,88,0.785,,22.0,14.0,8.0,105.0,77.0,28.0,105.0,77.0,28.0
Mike D'Antoni,HOU,,3,15,,82,53,29,246,173,73,1127,628,499,0.557,,11.0,6.0,5.0,39.0,23.0,16.0,98.0,49.0,49.0
Nate McMillan,IND,,3,15,,82,48,34,246,138,108,1176,616,560,0.524,,4.0,0.0,4.0,15.0,3.0,12.0,49.0,17.0,32.0
Doc Rivers,LAC,,6,20,,82,48,34,492,307,185,1552,894,658,0.576,,6.0,2.0,4.0,46.0,20.0,26.0,167.0,84.0,83.0
Luke Walton,LAL,,3,3,,82,37,45,246,98,148,246,98,148,0.398,,,,,,,,,,
J.B. Bickerstaff,MEM,,2,3,,82,33,49,145,48,97,216,85,131,0.394,,,,,,,,5.0,1.0,4.0
Erik Spoelstra,MIA,,11,11,,82,39,43,886,523,363,886,523,363,0.59,,,,,118.0,71.0,47.0,118.0,71.0,47.0
Mike Budenholzer,MIL,,1,6,,82,60,22,82,60,22,492,273,219,0.555,,15.0,10.0,5.0,15.0,10.0,5.0,54.0,27.0,27.0
Tom Thibodeau,MIN,,3,8,,40,19,21,204,97,107,598,352,246,0.589,,,,,5.0,1.0,4.0,56.0,24.0,32.0
Ryan Saunders,MIN,,1,1,,42,17,25,42,17,25,42,17,25,0.405,,,,,,,,,,
Alvin Gentry,NOP,,4,16,,82,33,49,328,145,183,1033,480,553,0.465,,,,,9.0,5.0,4.0,30.0,17.0,13.0
David Fizdale,NYK,,1,3,,82,17,65,82,17,65,183,67,116,0.366,,,,,,,,6.0,2.0,4.0
Billy Donovan,OKC,,4,4,,82,49,33,328,199,129,328,199,129,0.607,,5.0,1.0,4.0,34.0,15.0,19.0,34.0,15.0,19.0
Steve Clifford,ORL,,1,6,,82,42,40,82,42,40,492,238,254,0.484,,5.0,1.0,4.0,5.0,1.0,4.0,16.0,4.0,12.0
Brett Brown,PHI,,6,6,,82,51,31,492,178,314,492,178,314,0.362,,12.0,7.0,5.0,22.0,12.0,10.0,22.0,12.0,10.0
Igor Kokoskov,PHO,,1,1,,82,19,63,82,19,63,82,19,63,0.232,,,,,,,,,,
Terry Stotts,POR,,7,11,,82,53,29,574,325,249,857,440,417,0.513,,16.0,8.0,8.0,51.0,19.0,32.0,56.0,20.0,36.0
Dave Joerger,SAC,,3,6,,82,39,43,246,98,148,492,245,247,0.498,,,,,,,,22.0,9.0,13.0
Gregg Popovich,SAS,,23,23,,82,48,34,1820,1245,575,1820,1245,575,0.684,,7.0,3.0,4.0,284.0,170.0,114.0,284.0,170.0,114.0
Nick Nurse,TOR,,1,1,,82,58,24,82,58,24,82,58,24,0.707,,24.0,16.0,8.0,24.0,16.0,8.0,24.0,16.0,8.0
Quin Snyder,UTA,,5,5,,82,50,32,410,227,183,410,227,183,0.554,,5.0,1.0,4.0,27.0,10.0,17.0,27.0,10.0,17.0
Scott Brooks,WAS,,3,10,,82,32,50,246,124,122,791,462,329,0.584,,,,,19.0,9.0,10.0,92.0,48.0,44.0
