Unnamed: 0_level_0 Unnamed: 0_level_1 Coach,Unnamed: 1_level_0 Unnamed: 1_level_1 Tm,Seasons w/ Franch #,Seasons Overall #,Regular Season Current Season G,Regular Season Current Season W,Regular Season Current Season L,Regular Season w/ Franchise G,Regular Season w/ Franchise W,Regular Season w/ Franchise L,Regular Season Career G,Regular Season Career W,Regular Season Career L,Regular Season Career W%,Playoffs Current Season G,Playoffs Current Season W,Playoffs Current Season L,Playoffs w/ Franchise G,Playoffs w/ Franchise W,Playoffs w/ Franchise L,Playoffs Career G,Playoffs Career W,Playoffs Career L,Year
Mike Woodson,ATL,2,2,82,26,56,164,39,125,164,39,125,0.238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006
Doc Rivers,BOS,2,7,82,33,49,164,78,86,503,249,254,0.495,0.0,0.0,0.0,7.0,3.0,4.0,22.0,8.0,14.0,2006
Bernie Bickerstaff,CHA,2,12,82,26,56,164,44,120,850,382,468,0.449,0.0,0.0,0.0,0.0,0.0,0.0,33.0,12.0,21.0,2006
Scott Skiles,CHI,3,6,82,41,41,230,107,123,425,223,202,0.525,6.0,2.0,4.0,12.0,4.0,8.0,25.0,9.0,16.0,2006
Mike Brown,CLE,1,1,82,50,32,82,50,32,82,50,32,0.61,13.0,7.0,6.0,13.0,7.0,6.0,13.0,7.0,6.0,2006
Avery Johnson,DAL,2,2,82,60,22,100,76,24,100,76,24,0.76,23.0,14.0,9.0,36.0,20.0,16.0,36.0,20.0,16.0,2006
George Karl,DEN,2,18,82,44,38,122,76,46,1329,784,545,0.59,5.0,1.0,4.0,10.0,2.0,8.0,136.0,61.0,75.0,2006
Flip Saunders,DET,1,11,82,64,18,82,64,18,819,475,344,0.58,18.0,10.0,8.0,18.0,10.0,8.0,65.0,27.0,38.0,2006
Mike Montgomery,GSW,2,2,82,34,48,164,68,96,164,68,96,0.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006
Jeff Van Gundy,HOU,3,10,82,34,48,246,130,116,666,378,288,0.568,0.0,0.0,0.0,12.0,4.0,8.0,81.0,41.0,40.0,2006
Rick Carlisle,IND,3,5,82,41,41,246,146,100,410,246,164,0.6,6.0,2.0,4.0,35.0,18.0,17.0,62.0,30.0,32.0,2006
Mike Dunleavy,LAC,3,13,82,47,35,246,112,134,1034,510,524,0.493,12.0,7.0,5.0,12.0,7.0,5.0,71.0,38.0,33.0,2006
Phil Jackson,LAL,6,15,82,45,37,492,332,160,1230,877,353,0.713,7.0,3.0,4.0,99.0,67.0,32.0,251.0,178.0,73.0,2006
Mike Fratello,MEM,2,16,82,49,33,148,89,59,1185,661,524,0.558,4.0,0.0,4.0,8.0,0.0,8.0,62.0,20.0,42.0,2006
Stan Van Gundy,MIA,3,3,21,11,10,185,112,73,185,112,73,0.605,0.0,0.0,0.0,28.0,17.0,11.0,28.0,17.0,11.0,2006
Pat Riley,MIA,9,22,61,41,20,685,395,290,1740,1151,589,0.661,23.0,16.0,7.0,66.0,34.0,32.0,278.0,171.0,107.0,2006
Terry Stotts,MIL,1,3,82,40,42,82,40,42,219,92,127,0.42,5.0,1.0,4.0,5.0,1.0,4.0,5.0,1.0,4.0,2006
Dwane Casey,MIN,1,1,82,33,49,82,33,49,82,33,49,0.402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006
Lawrence Frank,NJN,3,3,82,49,33,204,116,88,204,116,88,0.569,11.0,5.0,6.0,26.0,12.0,14.0,26.0,12.0,14.0,2006
Byron Scott,NOK,2,6,82,38,44,164,56,108,452,205,247,0.454,0.0,0.0,0.0,0.0,0.0,0.0,40.0,25.0,15.0,2006
Larry Brown,NYK,1,27,82,23,59,82,23,59,2146,1239,907,0.577,0.0,0.0,0.0,0.0,0.0,0.0,231.0,120.0,111.0,2006
Brian Hill,ORL,5,8,82,36,46,377,227,150,531,258,273,0.486,0.0,0.0,0.0,36.0,18.0,18.0,36.0,18.0,18.0,2006
Maurice Cheeks,PHI,1,5,82,38,44,82,38,44,383,200,183,0.522,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,7.0,2006
Mike D'Antoni,PHO,3,4,82,54,28,225,137,88,275,151,124,0.549,20.0,10.0,10.0,35.0,19.0,16.0,35.0,19.0,16.0,2006
Nate McMillan,POR,1,6,82,21,61,82,21,61,477,233,244,0.488,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,8.0,2006
Rick Adelman,SAC,8,16,82,44,38,624,395,229,1233,752,481,0.61,6.0,2.0,4.0,69.0,34.0,35.0,138.0,70.0,68.0,2006
Gregg Popovich,SAS,10,10,82,63,19,770,518,252,770,518,252,0.673,13.0,7.0,6.0,123.0,76.0,47.0,123.0,76.0,47.0,2006
Bob Weiss,SEA,1,7,30,13,17,30,13,17,522,223,299,0.427,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,9.0,2006
Bob Hill,SEA,1,8,52,22,30,52,22,30,521,279,242,0.536,0.0,0.0,0.0,0.0,0.0,0.0,37.0,17.0,20.0,2006
Sam Mitchell,TOR,2,2,82,27,55,164,60,104,164,60,104,0.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006
Jerry Sloan,UTA,18,21,82,41,41,1427,890,537,1642,984,658,0.599,0.0,0.0,0.0,152.0,76.0,76.0,158.0,78.0,80.0,2006
Eddie Jordan,WAS,3,5,82,42,40,246,112,134,343,145,198,0.423,6.0,2.0,4.0,16.0,6.0,10.0,16.0,6.0,10.0,2006
