Unnamed: 0_level_0 Unnamed: 0_level_1 Coach,Unnamed: 1_level_0 Unnamed: 1_level_1 Tm,Unnamed: 2_level_0 Unnamed: 2_level_1 Unnamed: 2_level_2,Seasons w/ Franch #,Seasons Overall #,Unnamed: 5_level_0 Unnamed: 5_level_1 Unnamed: 5_level_2,Regular Season Current Season G,Regular Season Current Season W,Regular Season Current Season L,Regular Season w/ Franchise G,Regular Season w/ Franchise W,Regular Season w/ Franchise L,Regular Season Career G,Regular Season Career W,Regular Season Career L,Regular Season Career W%,Unnamed: 16_level_0 Unnamed: 16_level_1 Unnamed: 16_level_2,Playoffs Current Season G,Playoffs Current Season W,Playoffs Current Season L,Playoffs w/ Franchise G,Playoffs w/ Franchise W,Playoffs w/ Franchise L,Playoffs Career G,Playoffs Career W,Playoffs Career L
Quin Snyder,ATL,,3,11,,56,26,30,159,72,87,795,444,351,0.558,,,,,6.0,2.0,4.0,57.0,23.0,34.0
Joe Mazzulla,BOS,,3,3,,56,40,16,220,161,59,220,161,59,0.732,,,,,39.0,27.0,12.0,39.0,27.0,12.0
Jordi Fernandez,BRK,,1,1,,56,21,35,56,21,35,56,21,35,0.375,,,,,,,,,,
Billy Donovan,CHI,,5,10,,57,22,35,375,178,197,775,421,354,0.543,,,,,5.0,1.0,4.0,46.0,19.0,27.0
Charles Lee,CHO,,1,1,,55,14,41,55,14,41,55,14,41,0.255,,,,,,,,,,
Kenny Atkinson,CLE,,1,5,,56,46,10,56,46,10,364,164,200,0.451,,,,,,,,5.0,1.0,4.0
Jason Kidd,DAL,,4,9,,57,31,26,303,171,132,676,354,322,0.524,,,,,40.0,22.0,18.0,64.0,31.0,33.0
Michael Malone,DEN,,10,12,,57,37,20,776,461,315,882,500,382,0.567,,,,,80.0,44.0,36.0,80.0,44.0,36.0
J.B. Bickerstaff,DET,,1,9,,56,30,26,56,30,26,601,285,316,0.474,,,,,,,,22.0,7.0,15.0
Steve Kerr,GSW,,11,11,,56,29,27,849,548,301,849,548,301,0.645,,,,,140.0,99.0,41.0,140.0,99.0,41.0
Ime Udoka,HOU,,2,3,,57,35,22,139,76,63,221,127,94,0.575,,,,,,,,24.0,14.0,10.0
Rick Carlisle,IND,,8,23,,54,31,23,628,319,309,1825,974,851,0.534,,,,,52.0,26.0,26.0,150.0,71.0,79.0
Tyronn Lue,LAC,,5,9,,55,31,24,373,215,158,584,343,241,0.587,,,,,30.0,13.0,17.0,91.0,54.0,37.0
JJ Redick,LAL,,1,1,,55,34,21,55,34,21,55,34,21,0.618,,,,,,,,,,
Taylor Jenkins,MEM,,6,6,,56,37,19,447,243,204,447,243,204,0.544,,,,,23.0,9.0,14.0,23.0,9.0,14.0
Erik Spoelstra,MIA,,17,17,,54,26,28,1331,776,555,1331,776,555,0.583,,,,,189.0,110.0,79.0,189.0,110.0,79.0
Doc Rivers,MIL,,2,26,,55,31,24,91,48,43,1951,1145,806,0.587,,,,,6.0,2.0,4.0,221.0,113.0,108.0
Chris Finch,MIN,,5,5,,57,31,26,344,191,153,344,191,153,0.555,,,,,27.0,12.0,15.0,27.0,12.0,15.0
Willie Green,NOP,,4,4,,56,13,43,302,140,162,302,140,162,0.464,,,,,10.0,2.0,8.0,10.0,2.0,8.0
Tom Thibodeau,NYK,,5,13,,56,37,19,374,212,162,972,564,408,0.58,,,,,29.0,14.0,15.0,85.0,38.0,47.0
Mark Daigneault,OKC,,5,5,,55,45,10,373,188,185,373,188,185,0.504,,,,,10.0,6.0,4.0,10.0,6.0,4.0
Jamahl Mosley,ORL,,4,4,,58,28,30,304,131,173,304,131,173,0.431,,,,,7.0,3.0,4.0,7.0,3.0,4.0
Nick Nurse,PHI,,2,7,,56,20,36,138,67,71,528,294,234,0.557,,,,,6.0,2.0,4.0,47.0,27.0,20.0
Mike Budenholzer,PHO,,1,11,,56,27,29,56,27,29,857,511,346,0.596,,,,,,,,104.0,56.0,48.0
Chauncey Billups,POR,,4,4,,57,24,33,303,105,198,303,105,198,0.347,,,,,,,,,,
Mike Brown,SAC,,3,11,,31,13,18,195,107,88,758,454,304,0.599,,,,,7.0,3.0,4.0,90.0,50.0,40.0
Doug Christie,SAC,,1,1,,25,15,10,25,15,10,25,15,10,0.6,,,,,,,,,,
Gregg Popovich,SAS,,29,29,,54,24,30,2263,1412,851,2263,1412,851,0.624,,,,,284.0,170.0,114.0,284.0,170.0,114.0
Darko Rajakovic,TOR,,2,2,,56,17,39,138,42,96,138,42,96,0.304,,,,,,,,,,
Will Hardy,UTA,,3,3,,56,14,42,220,82,138,220,82,138,0.373,,,,,,,,,,
Brian Keefe,WAS,,2,2,,55,9,46,94,17,77,94,17,77,0.181,,,,,,,,,,
