Unnamed: 0_level_0 Unnamed: 0_level_1 Coach,Unnamed: 1_level_0 Unnamed: 1_level_1 Tm,Seasons w/ Franch #,Seasons Overall #,Regular Season Current Season G,Regular Season Current Season W,Regular Season Current Season L,Regular Season w/ Franchise G,Regular Season w/ Franchise W,Regular Season w/ Franchise L,Regular Season Career G,Regular Season Career W,Regular Season Career L,Regular Season Career W%,Playoffs Current Season G,Playoffs Current Season W,Playoffs Current Season L,Playoffs w/ Franchise G,Playoffs w/ Franchise W,Playoffs w/ Franchise L,Playoffs Career G,Playoffs Career W,Playoffs Career L,Year
Lloyd Pierce,ATL,3,3,34,14,20,183,63,120,183,63,120,0.344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Nate McMillan,ATL,1,17,38,27,11,38,27,11,1287,688,599,0.535,18.0,10.0,8.0,18.0,10.0,8.0,71.0,27.0,44.0,2021
Brad Stevens,BOS,8,8,72,36,36,636,354,282,636,354,282,0.557,5.0,1.0,4.0,78.0,38.0,40.0,78.0,38.0,40.0,2021
Steve Nash,BRK,1,1,72,48,24,72,48,24,72,48,24,0.667,12.0,7.0,5.0,12.0,7.0,5.0,12.0,7.0,5.0,2021
Billy Donovan,CHI,1,6,72,31,41,72,31,41,472,274,198,0.581,0.0,0.0,0.0,0.0,0.0,0.0,41.0,18.0,23.0,2021
James Borrego,CHO,3,4,72,33,39,219,95,124,249,105,144,0.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
J.B. Bickerstaff,CLE,2,5,72,22,50,83,27,56,299,112,187,0.375,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,2021
Rick Carlisle,DAL,13,19,72,42,30,1033,555,478,1525,836,689,0.548,7.0,3.0,4.0,71.0,33.0,38.0,133.0,63.0,70.0,2021
Michael Malone,DEN,6,8,72,47,25,473,266,207,579,305,274,0.527,10.0,4.0,6.0,43.0,20.0,23.0,43.0,20.0,23.0,2021
Dwane Casey,DET,3,12,72,20,52,220,81,139,900,454,446,0.504,0.0,0.0,0.0,4.0,0.0,4.0,55.0,21.0,34.0,2021
Steve Kerr,GSW,7,7,72,39,33,547,376,171,547,376,171,0.687,0.0,0.0,0.0,105.0,77.0,28.0,105.0,77.0,28.0,2021
Stephen Silas,HOU,1,1,72,17,55,72,17,55,72,17,55,0.236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Nate Bjorkgren,IND,1,1,72,34,38,72,34,38,72,34,38,0.472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Tyronn Lue,LAC,1,5,72,47,25,72,47,25,283,175,108,0.618,19.0,10.0,9.0,19.0,10.0,9.0,80.0,51.0,29.0,2021
Frank Vogel,LAL,2,10,72,42,30,143,94,49,738,398,340,0.539,6.0,2.0,4.0,27.0,18.0,9.0,88.0,49.0,39.0,2021
Taylor Jenkins,MEM,2,2,72,38,34,145,72,73,145,72,73,0.497,5.0,1.0,4.0,5.0,1.0,4.0,5.0,1.0,4.0,2021
Erik Spoelstra,MIA,13,13,72,40,32,1031,607,424,1031,607,424,0.589,4.0,0.0,4.0,143.0,85.0,58.0,143.0,85.0,58.0,2021
Mike Budenholzer,MIL,3,8,72,46,26,227,162,65,637,375,262,0.589,23.0,16.0,7.0,48.0,31.0,17.0,87.0,48.0,39.0,2021
Ryan Saunders,MIN,3,3,31,7,24,137,43,94,137,43,94,0.314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Chris Finch,MIN,1,1,41,16,25,41,16,25,41,16,25,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Stan Van Gundy,NOP,1,13,72,31,41,72,31,41,979,554,425,0.566,0.0,0.0,0.0,0.0,0.0,0.0,91.0,48.0,43.0,2021
Tom Thibodeau,NYK,1,9,72,41,31,72,41,31,670,393,277,0.587,5.0,1.0,4.0,5.0,1.0,4.0,61.0,25.0,36.0,2021
Mark Daigneault,OKC,1,1,72,22,50,72,22,50,72,22,50,0.306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Steve Clifford,ORL,3,8,72,21,51,227,96,131,637,292,345,0.458,0.0,0.0,0.0,10.0,2.0,8.0,21.0,5.0,16.0,2021
Doc Rivers,PHI,1,22,72,49,23,72,49,23,1696,992,704,0.585,12.0,7.0,5.0,12.0,7.0,5.0,192.0,98.0,94.0,2021
Monty Williams,PHO,2,7,72,51,21,145,85,60,539,258,281,0.479,22.0,14.0,8.0,22.0,14.0,8.0,32.0,16.0,16.0,2021
Terry Stotts,POR,9,13,72,42,30,720,402,318,1003,517,486,0.515,6.0,2.0,4.0,62.0,22.0,40.0,67.0,23.0,44.0,2021
Luke Walton,SAC,2,5,72,31,41,144,62,82,390,160,230,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Gregg Popovich,SAS,25,25,72,33,39,1963,1310,653,1963,1310,653,0.667,0.0,0.0,0.0,284.0,170.0,114.0,284.0,170.0,114.0,2021
Nick Nurse,TOR,3,3,72,27,45,226,138,88,226,138,88,0.611,0.0,0.0,0.0,35.0,23.0,12.0,35.0,23.0,12.0,2021
Quin Snyder,UTA,7,7,72,52,20,554,323,231,554,323,231,0.583,11.0,6.0,5.0,45.0,19.0,26.0,45.0,19.0,26.0,2021
Scott Brooks,WAS,5,12,72,34,38,390,183,207,935,521,414,0.557,5.0,1.0,4.0,24.0,10.0,14.0,97.0,49.0,48.0,2021
