Unnamed: 0_level_0 Unnamed: 0_level_1 Coach,Unnamed: 1_level_0 Unnamed: 1_level_1 Tm,Seasons w/ Franch #,Seasons Overall #,Regular Season Current Season G,Regular Season Current Season W,Regular Season Current Season L,Regular Season w/ Franchise G,Regular Season w/ Franchise W,Regular Season w/ Franchise L,Regular Season Career G,Regular Season Career W,Regular Season Career L,Regular Season Career W%,Playoffs Current Season G,Playoffs Current Season W,Playoffs Current Season L,Playoffs w/ Franchise G,Playoffs w/ Franchise W,Playoffs w/ Franchise L,Playoffs Career G,Playoffs Career W,Playoffs Career L,Year
Phil Jackson,LAL,11,20,82,57,25,902,610,292,1640,1155,485,0.704,10.0,4.0,6.0,181.0,118.0,63.0,333.0,229.0,104.0,2011
Lionel Hollins,MEM,5,5,82,46,36,267,117,150,267,117,150,0.438,13.0,7.0,6.0,13.0,7.0,6.0,13.0,7.0,6.0,2011
Erik Spoelstra,MIA,3,3,82,58,24,246,148,98,246,148,98,0.602,21.0,14.0,7.0,33.0,18.0,15.0,33.0,18.0,15.0,2011
Scott Skiles,MIL,3,11,82,35,47,246,115,131,778,396,382,0.509,0.0,0.0,0.0,7.0,3.0,4.0,42.0,18.0,24.0,2011
Kurt Rambis,MIN,2,3,82,17,65,164,32,132,201,56,145,0.279,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,5.0,2011
Avery Johnson,NJN,1,5,82,24,58,82,24,58,346,218,128,0.63,0.0,0.0,0.0,0.0,0.0,0.0,47.0,23.0,24.0,2011
Monty Williams,NOH,1,1,82,46,36,82,46,36,82,46,36,0.561,6.0,2.0,4.0,6.0,2.0,4.0,6.0,2.0,4.0,2011
Mike D'Antoni,NYK,3,9,82,42,40,246,103,143,685,370,315,0.54,4.0,0.0,4.0,4.0,0.0,4.0,55.0,26.0,29.0,2011
Scott Brooks,OKC,3,3,82,55,27,233,127,106,233,127,106,0.545,17.0,9.0,8.0,23.0,11.0,12.0,23.0,11.0,12.0,2011
Stan Van Gundy,ORL,4,7,82,52,30,328,222,106,513,334,179,0.651,6.0,2.0,4.0,54.0,30.0,24.0,82.0,47.0,35.0,2011
Doug Collins,PHI,1,9,82,41,41,82,41,41,701,373,328,0.532,5.0,1.0,4.0,5.0,1.0,4.0,43.0,16.0,27.0,2011
Alvin Gentry,PHO,3,10,82,40,42,195,112,83,598,289,309,0.483,0.0,0.0,0.0,16.0,10.0,6.0,21.0,12.0,9.0,2011
Nate McMillan,POR,6,11,82,48,34,492,246,246,887,458,429,0.516,6.0,2.0,4.0,18.0,6.0,12.0,34.0,14.0,20.0,2011
Paul Westphal,SAC,2,9,82,24,58,164,49,115,590,316,274,0.536,0.0,0.0,0.0,0.0,0.0,0.0,49.0,27.0,22.0,2011
Gregg Popovich,SAS,15,15,82,61,21,1180,797,383,1180,797,383,0.675,6.0,2.0,4.0,181.0,108.0,73.0,181.0,108.0,73.0,2011
Jay Triano,TOR,3,3,82,22,60,229,87,142,229,87,142,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011
Jerry Sloan,UTA,23,26,54,31,23,1809,1127,682,2024,1221,803,0.603,0.0,0.0,0.0,196.0,96.0,100.0,202.0,98.0,104.0,2011
Tyrone Corbin,UTA,1,1,28,8,20,28,8,20,28,8,20,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011
Flip Saunders,WAS,2,15,82,23,59,164,49,115,1147,636,511,0.554,0.0,0.0,0.0,0.0,0.0,0.0,98.0,47.0,51.0,2011
