Unnamed: 0_level_0 Unnamed: 0_level_1 Coach,Unnamed: 1_level_0 Unnamed: 1_level_1 Tm,Seasons w/ Franch #,Seasons Overall #,Regular Season Current Season G,Regular Season Current Season W,Regular Season Current Season L,Regular Season w/ Franchise G,Regular Season w/ Franchise W,Regular Season w/ Franchise L,Regular Season Career G,Regular Season Career W,Regular Season Career L,Regular Season Career W%,Playoffs Current Season G,Playoffs Current Season W,Playoffs Current Season L,Playoffs w/ Franchise G,Playoffs w/ Franchise W,Playoffs w/ Franchise L,Playoffs Career G,Playoffs Career W,Playoffs Career L,Year
Larry Drew,ATL,1,1,82,44,38,82,44,38,82,44,38,0.537,12.0,6.0,6.0,12.0,6.0,6.0,12.0,6.0,6.0,2011
Doc Rivers,BOS,7,12,82,56,26,574,336,238,913,507,406,0.555,9.0,5.0,4.0,80.0,46.0,34.0,95.0,51.0,44.0,2011
Larry Brown,CHA,3,30,28,9,19,192,88,104,2338,1327,1011,0.568,0.0,0.0,0.0,4.0,0.0,4.0,235.0,120.0,115.0,2011
Paul Silas,CHA,5,11,54,25,29,335,186,149,809,380,429,0.47,0.0,0.0,0.0,23.0,11.0,12.0,29.0,13.0,16.0,2011
Tom Thibodeau,CHI,1,1,82,62,20,82,62,20,82,62,20,0.756,16.0,9.0,7.0,16.0,9.0,7.0,16.0,9.0,7.0,2011
Byron Scott,CLE,1,11,82,19,63,82,19,63,789,371,418,0.47,0.0,0.0,0.0,0.0,0.0,0.0,57.0,33.0,24.0,2011
Rick Carlisle,DAL,3,9,82,57,25,246,162,84,738,443,295,0.6,21.0,16.0,5.0,37.0,23.0,14.0,99.0,53.0,46.0,2011
George Karl,DEN,7,23,82,50,32,532,328,204,1739,1036,703,0.596,5.0,1.0,4.0,46.0,16.0,30.0,172.0,75.0,97.0,2011
John Kuester,DET,2,2,82,30,52,164,57,107,164,57,107,0.348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011
Keith Smart,GSW,1,2,82,36,46,82,36,46,122,45,77,0.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011
Rick Adelman,HOU,4,20,82,43,39,328,193,135,1561,945,616,0.605,0.0,0.0,0.0,19.0,9.0,10.0,157.0,79.0,78.0,2011
Jim O'Brien,IND,4,9,44,17,27,290,121,169,630,303,327,0.481,0.0,0.0,0.0,0.0,0.0,0.0,31.0,14.0,17.0,2011
Frank Vogel,IND,1,1,38,20,18,38,20,18,38,20,18,0.526,5.0,1.0,4.0,5.0,1.0,4.0,5.0,1.0,4.0,2011
Vinny Del Negro,LAC,1,3,82,32,50,82,32,50,246,114,132,0.463,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,8.0,2011
