Unnamed: 0_level_0 Unnamed: 0_level_1 Coach,Unnamed: 1_level_0 Unnamed: 1_level_1 Tm,Seasons w/ Franch #,Seasons Overall #,Regular Season Current Season G,Regular Season Current Season W,Regular Season Current Season L,Regular Season w/ Franchise G,Regular Season w/ Franchise W,Regular Season w/ Franchise L,Regular Season Career G,Regular Season Career W,Regular Season Career L,Regular Season Career W%,Playoffs Current Season G,Playoffs Current Season W,Playoffs Current Season L,Playoffs w/ Franchise G,Playoffs w/ Franchise W,Playoffs w/ Franchise L,Playoffs Career G,Playoffs Career W,Playoffs Career L,Year
Mike Budenholzer,ATL,4,4,82,43,39,328,189,139,328,189,139,0.576,6.0,2.0,4.0,39.0,17.0,22.0,39.0,17.0,22.0,2017
Brad Stevens,BOS,4,4,82,53,29,328,166,162,328,166,162,0.506,18.0,9.0,9.0,28.0,11.0,17.0,28.0,11.0,17.0,2017
Kenny Atkinson,BRK,1,1,82,20,62,82,20,62,82,20,62,0.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017
Fred Hoiberg,CHI,2,2,82,41,41,164,83,81,164,83,81,0.506,6.0,2.0,4.0,6.0,2.0,4.0,6.0,2.0,4.0,2017
Steve Clifford,CHO,4,4,82,36,46,328,160,168,328,160,168,0.488,0.0,0.0,0.0,11.0,3.0,8.0,11.0,3.0,8.0,2017
Tyronn Lue,CLE,2,2,82,51,31,123,78,45,123,78,45,0.634,18.0,13.0,5.0,39.0,29.0,10.0,39.0,29.0,10.0,2017
Rick Carlisle,DAL,9,15,82,33,49,722,413,309,1214,694,520,0.572,0.0,0.0,0.0,58.0,28.0,30.0,120.0,58.0,62.0,2017
Michael Malone,DEN,2,4,82,40,42,164,73,91,270,112,158,0.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017
Stan Van Gundy,DET,3,11,82,37,45,246,113,133,825,484,341,0.587,0.0,0.0,0.0,4.0,0.0,4.0,91.0,48.0,43.0,2017
Steve Kerr,GSW,3,3,82,67,15,246,207,39,246,207,39,0.841,17.0,16.0,1.0,62.0,47.0,15.0,62.0,47.0,15.0,2017
Mike D'Antoni,HOU,1,13,82,55,27,82,55,27,963,510,453,0.53,11.0,6.0,5.0,11.0,6.0,5.0,70.0,32.0,38.0,2017
Nate McMillan,IND,1,13,82,42,40,82,42,40,1012,520,492,0.514,4.0,0.0,4.0,4.0,0.0,4.0,38.0,14.0,24.0,2017
Doc Rivers,LAC,4,18,82,51,31,328,217,111,1388,804,584,0.579,7.0,3.0,4.0,40.0,18.0,22.0,161.0,82.0,79.0,2017
Luke Walton,LAL,1,1,82,26,56,82,26,56,82,26,56,0.317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017
David Fizdale,MEM,1,1,82,43,39,82,43,39,82,43,39,0.524,6.0,2.0,4.0,6.0,2.0,4.0,6.0,2.0,4.0,2017
Erik Spoelstra,MIA,9,9,82,41,41,722,440,282,722,440,282,0.609,0.0,0.0,0.0,113.0,70.0,43.0,113.0,70.0,43.0,2017
Jason Kidd,MIL,3,4,82,42,40,246,116,130,328,160,168,0.488,6.0,2.0,4.0,12.0,4.0,8.0,24.0,9.0,15.0,2017
Tom Thibodeau,MIN,1,6,82,31,51,82,31,51,476,286,190,0.601,0.0,0.0,0.0,0.0,0.0,0.0,51.0,23.0,28.0,2017
Alvin Gentry,NOP,2,14,82,34,48,164,64,100,869,399,470,0.459,0.0,0.0,0.0,0.0,0.0,0.0,21.0,12.0,9.0,2017
Jeff Hornacek,NYK,1,4,82,31,51,82,31,51,295,132,163,0.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017
Billy Donovan,OKC,2,2,82,47,35,164,102,62,164,102,62,0.622,5.0,1.0,4.0,23.0,12.0,11.0,23.0,12.0,11.0,2017
Frank Vogel,ORL,1,7,82,29,53,82,29,53,513,279,234,0.544,0.0,0.0,0.0,0.0,0.0,0.0,61.0,31.0,30.0,2017
Brett Brown,PHI,4,4,82,28,54,328,75,253,328,75,253,0.229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017
Earl Watson,PHO,2,2,82,24,58,115,33,82,115,33,82,0.287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017
Terry Stotts,POR,5,9,82,41,41,410,223,187,693,338,355,0.488,4.0,0.0,4.0,31.0,11.0,20.0,36.0,12.0,24.0,2017
Dave Joerger,SAC,1,4,82,32,50,82,32,50,328,179,149,0.546,0.0,0.0,0.0,0.0,0.0,0.0,22.0,9.0,13.0,2017
Gregg Popovich,SAS,21,21,82,61,21,1656,1150,506,1656,1150,506,0.694,16.0,8.0,8.0,272.0,166.0,106.0,272.0,166.0,106.0,2017
Dwane Casey,TOR,6,8,82,51,31,476,261,215,598,314,284,0.525,10.0,4.0,6.0,41.0,17.0,24.0,41.0,17.0,24.0,2017
Quin Snyder,UTA,3,3,82,51,31,246,129,117,246,129,117,0.524,11.0,4.0,7.0,11.0,4.0,7.0,11.0,4.0,7.0,2017
Scott Brooks,WAS,1,8,82,49,33,82,49,33,627,387,240,0.617,13.0,7.0,6.0,13.0,7.0,6.0,86.0,46.0,40.0,2017
