Unnamed: 0_level_0 Unnamed: 0_level_1 Coach,Unnamed: 1_level_0 Unnamed: 1_level_1 Tm,Seasons w/ Franch #,Seasons Overall #,Regular Season Current Season G,Regular Season Current Season W,Regular Season Current Season L,Regular Season w/ Franchise G,Regular Season w/ Franchise W,Regular Season w/ Franchise L,Regular Season Career G,Regular Season Career W,Regular Season Career L,Regular Season Career W%,Playoffs Current Season G,Playoffs Current Season W,Playoffs Current Season L,Playoffs w/ Franchise G,Playoffs w/ Franchise W,Playoffs w/ Franchise L,Playoffs Career G,Playoffs Career W,Playoffs Career L
Kevin McHale,HOU,2,4,82,45,37,148,79,69,242,118,124,0.488,6.0,2.0,4.0,6.0,2.0,4.0,6.0,2.0,4.0
Frank Vogel,IND,3,3,81,49,32,185,111,74,185,111,74,0.6,19.0,11.0,8.0,35.0,18.0,17.0,35.0,18.0,17.0
Vinny Del Negro,LAC,3,5,82,56,26,230,128,102,394,210,184,0.533,6.0,2.0,4.0,17.0,6.0,11.0,29.0,10.0,19.0
Mike Brown,LAL,2,7,5,1,4,71,42,29,481,314,167,0.653,0.0,0.0,0.0,12.0,5.0,7.0,83.0,47.0,36.0
Bernie Bickerstaff,LAL,1,14,5,4,1,5,4,1,937,419,518,0.447,0.0,0.0,0.0,0.0,0.0,0.0,33.0,12.0,21.0
Mike D'Antoni,LAL,1,11,72,40,32,72,40,32,799,428,371,0.536,4.0,0.0,4.0,4.0,0.0,4.0,59.0,26.0,33.0
Lionel Hollins,MEM,7,7,82,56,26,415,214,201,415,214,201,0.516,15.0,8.0,7.0,35.0,18.0,17.0,35.0,18.0,17.0
Erik Spoelstra,MIA,5,5,82,66,16,394,260,134,394,260,134,0.66,23.0,16.0,7.0,79.0,50.0,29.0,79.0,50.0,29.0
Scott Skiles,MIL,5,13,32,16,16,344,162,182,876,443,433,0.506,0.0,0.0,0.0,7.0,3.0,4.0,42.0,18.0,24.0
Jim Boylan,MIL,1,2,50,22,28,50,22,28,106,46,60,0.434,4.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0
Rick Adelman,MIN,2,22,82,31,51,148,57,91,1709,1002,707,0.586,0.0,0.0,0.0,0.0,0.0,0.0,157.0,79.0,78.0
Monty Williams,NOH,3,3,82,27,55,230,94,136,230,94,136,0.409,0.0,0.0,0.0,6.0,2.0,4.0,6.0,2.0,4.0
Mike Woodson,NYK,2,8,82,54,28,106,72,34,598,278,320,0.465,12.0,6.0,6.0,17.0,7.0,10.0,46.0,18.0,28.0
Scott Brooks,OKC,5,5,82,60,22,381,234,147,381,234,147,0.614,11.0,5.0,6.0,54.0,29.0,25.0,54.0,29.0,25.0
Jacque Vaughn,ORL,1,1,82,20,62,82,20,62,82,20,62,0.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doug Collins,PHI,3,11,82,34,48,230,110,120,849,442,407,0.521,0.0,0.0,0.0,18.0,8.0,10.0,56.0,23.0,33.0
Alvin Gentry,PHO,5,12,41,13,28,302,158,144,705,335,370,0.475,0.0,0.0,0.0,16.0,10.0,6.0,21.0,12.0,9.0
Lindsey Hunter,PHO,1,1,41,12,29,41,12,29,41,12,29,0.293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terry Stotts,POR,1,5,82,33,49,82,33,49,365,148,217,0.405,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0
Keith Smart,SAC,2,4,82,28,54,141,48,93,263,93,170,0.354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gregg Popovich,SAS,17,17,82,58,24,1328,905,423,1328,905,423,0.681,21.0,15.0,6.0,216.0,133.0,83.0,216.0,133.0,83.0
Dwane Casey,TOR,2,4,82,34,48,148,57,91,270,110,160,0.407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyrone Corbin,UTA,3,3,82,43,39,176,87,89,176,87,89,0.494,0.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,4.0
Randy Wittman,WAS,2,7,82,29,53,131,47,84,438,147,291,0.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
