Unnamed: 0_level_0 Unnamed: 0_level_1 Coach,Unnamed: 1_level_0 Unnamed: 1_level_1 Tm,Seasons w/ Franch #,Seasons Overall #,Regular Season Current Season G,Regular Season Current Season W,Regular Season Current Season L,Regular Season w/ Franchise G,Regular Season w/ Franchise W,Regular Season w/ Franchise L,Regular Season Career G,Regular Season Career W,Regular Season Career L,Regular Season Career W%,Playoffs Current Season G,Playoffs Current Season W,Playoffs Current Season L,Playoffs w/ Franchise G,Playoffs w/ Franchise W,Playoffs w/ Franchise L,Playoffs Career G,Playoffs Career W,Playoffs Career L
Larry Drew,ATL,3,3,82,44,38,230,128,102,230,128,102,0.557,6.0,2.0,4.0,24.0,10.0,14.0,24.0,10.0,14.0
Doc Rivers,BOS,9,14,81,41,40,721,416,305,1060,587,473,0.554,6.0,2.0,4.0,106.0,59.0,47.0,121.0,64.0,57.0
Avery Johnson,BRK,3,7,28,14,14,176,60,116,440,254,186,0.577,0.0,0.0,0.0,0.0,0.0,0.0,47.0,23.0,24.0
P.J. Carlesimo,BRK,1,9,54,35,19,54,35,19,554,239,315,0.431,7.0,3.0,4.0,7.0,3.0,4.0,19.0,6.0,13.0
Mike Dunlap,CHA,1,1,82,21,61,82,21,61,82,21,61,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom Thibodeau,CHI,3,3,82,45,37,230,157,73,230,157,73,0.683,12.0,5.0,7.0,34.0,16.0,18.0,34.0,16.0,18.0
Byron Scott,CLE,3,13,82,24,58,230,64,166,937,416,521,0.444,0.0,0.0,0.0,0.0,0.0,0.0,57.0,33.0,24.0
Rick Carlisle,DAL,5,11,82,41,41,394,239,155,886,520,366,0.587,0.0,0.0,0.0,41.0,23.0,18.0,103.0,53.0,50.0
George Karl,DEN,9,25,82,57,25,680,423,257,1887,1131,756,0.599,6.0,2.0,4.0,59.0,21.0,38.0,185.0,80.0,105.0
Lawrence Frank,DET,2,9,82,29,53,148,54,94,614,279,335,0.454,0.0,0.0,0.0,0.0,0.0,0.0,38.0,18.0,20.0
Mark Jackson,GSW,2,2,82,47,35,148,70,78,148,70,78,0.473,12.0,6.0,6.0,12.0,6.0,6.0,12.0,6.0,6.0
