Unnamed: 0_level_0 Unnamed: 0_level_1 Coach,Unnamed: 1_level_0 Unnamed: 1_level_1 Tm,Seasons w/ Franch #,Seasons Overall #,Regular Season Current Season G,Regular Season Current Season W,Regular Season Current Season L,Regular Season w/ Franchise G,Regular Season w/ Franchise W,Regular Season w/ Franchise L,Regular Season Career G,Regular Season Career W,Regular Season Career L,Regular Season Career W%,Playoffs Current Season G,Playoffs Current Season W,Playoffs Current Season L,Playoffs w/ Franchise G,Playoffs w/ Franchise W,Playoffs w/ Franchise L,Playoffs Career G,Playoffs Career W,Playoffs Career L,Year
Mike Woodson,ATL,3,3,82,30,52,246,69,177,246,69,177,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007
Doc Rivers,BOS,3,8,82,24,58,246,102,144,585,273,312,0.467,0.0,0.0,0.0,7.0,3.0,4.0,22.0,8.0,14.0,2007
Bernie Bickerstaff,CHA,3,13,82,33,49,246,77,169,932,415,517,0.445,0.0,0.0,0.0,0.0,0.0,0.0,33.0,12.0,21.0,2007
Scott Skiles,CHI,4,7,82,49,33,312,156,156,507,272,235,0.536,10.0,6.0,4.0,22.0,10.0,12.0,35.0,15.0,20.0,2007
Mike Brown,CLE,2,2,82,50,32,164,100,64,164,100,64,0.61,20.0,12.0,8.0,33.0,19.0,14.0,33.0,19.0,14.0,2007
Avery Johnson,DAL,3,3,82,67,15,182,143,39,182,143,39,0.786,6.0,2.0,4.0,42.0,22.0,20.0,42.0,22.0,20.0,2007
George Karl,DEN,3,19,82,45,37,204,121,83,1411,829,582,0.588,5.0,1.0,4.0,15.0,3.0,12.0,141.0,62.0,79.0,2007
Flip Saunders,DET,2,12,82,53,29,164,117,47,901,528,373,0.586,16.0,10.0,6.0,34.0,20.0,14.0,81.0,37.0,44.0,2007
Don Nelson,GSW,8,28,82,42,40,619,319,300,2152,1232,920,0.572,11.0,5.0,6.0,35.0,14.0,21.0,166.0,75.0,91.0,2007
Jeff Van Gundy,HOU,4,11,82,52,30,328,182,146,748,430,318,0.575,7.0,3.0,4.0,19.0,7.0,12.0,88.0,44.0,44.0,2007
Rick Carlisle,IND,4,6,82,35,47,328,181,147,492,281,211,0.571,0.0,0.0,0.0,35.0,18.0,17.0,62.0,30.0,32.0,2007
Mike Dunleavy,LAC,4,14,82,40,42,328,152,176,1116,550,566,0.493,0.0,0.0,0.0,12.0,7.0,5.0,71.0,38.0,33.0,2007
Phil Jackson,LAL,7,16,82,42,40,574,374,200,1312,919,393,0.7,5.0,1.0,4.0,104.0,68.0,36.0,256.0,179.0,77.0,2007
Mike Fratello,MEM,3,17,30,6,24,178,95,83,1215,667,548,0.549,0.0,0.0,0.0,8.0,0.0,8.0,62.0,20.0,42.0,2007
Tony Barone,MEM,1,1,52,16,36,52,16,36,52,16,36,0.308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007
Pat Riley,MIA,10,23,82,44,38,767,439,328,1822,1195,627,0.656,4.0,0.0,4.0,70.0,34.0,36.0,282.0,171.0,111.0,2007
Terry Stotts,MIL,2,4,64,23,41,146,63,83,283,115,168,0.406,0.0,0.0,0.0,5.0,1.0,4.0,5.0,1.0,4.0,2007
