Unnamed: 0_level_0 Unnamed: 0_level_1 Coach,Unnamed: 1_level_0 Unnamed: 1_level_1 Tm,Seasons w/ Franch #,Seasons Overall #,Regular Season Current Season G,Regular Season Current Season W,Regular Season Current Season L,Regular Season w/ Franchise G,Regular Season w/ Franchise W,Regular Season w/ Franchise L,Regular Season Career G,Regular Season Career W,Regular Season Career L,Regular Season Career W%,Playoffs Current Season G,Playoffs Current Season W,Playoffs Current Season L,Playoffs w/ Franchise G,Playoffs w/ Franchise W,Playoffs w/ Franchise L,Playoffs Career G,Playoffs Career W,Playoffs Career L,Year
Larry Krystkowiak,MIL,1,1,18,5,13,18,5,13,18,5,13,0.278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007
Dwane Casey,MIN,2,2,40,20,20,122,53,69,122,53,69,0.434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007
Randy Wittman,MIN,1,3,42,12,30,42,12,30,206,74,132,0.359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007
Lawrence Frank,NJN,4,4,82,41,41,286,157,129,286,157,129,0.549,12.0,6.0,6.0,38.0,18.0,20.0,38.0,18.0,20.0,2007
Byron Scott,NOK,3,7,82,39,43,246,95,151,534,244,290,0.457,0.0,0.0,0.0,0.0,0.0,0.0,40.0,25.0,15.0,2007
Isiah Thomas,NYK,1,4,82,33,49,82,33,49,328,164,164,0.5,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,10.0,2007
Brian Hill,ORL,6,9,82,40,42,459,267,192,613,298,315,0.486,4.0,0.0,4.0,40.0,18.0,22.0,40.0,18.0,22.0,2007
Maurice Cheeks,PHI,2,6,82,35,47,164,73,91,465,235,230,0.505,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,7.0,2007
Mike D'Antoni,PHO,4,5,82,61,21,307,198,109,357,212,145,0.594,11.0,6.0,5.0,46.0,25.0,21.0,46.0,25.0,21.0,2007
Nate McMillan,POR,2,7,82,32,50,164,53,111,559,265,294,0.474,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,8.0,2007
Eric Musselman,SAC,1,3,82,33,49,82,33,49,246,108,138,0.439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007
Gregg Popovich,SAS,11,11,82,58,24,852,576,276,852,576,276,0.676,20.0,16.0,4.0,143.0,92.0,51.0,143.0,92.0,51.0,2007
Bob Hill,SEA,2,9,82,31,51,134,53,81,603,310,293,0.514,0.0,0.0,0.0,0.0,0.0,0.0,37.0,17.0,20.0,2007
Sam Mitchell,TOR,3,3,82,47,35,246,107,139,246,107,139,0.435,6.0,2.0,4.0,6.0,2.0,4.0,6.0,2.0,4.0,2007
Jerry Sloan,UTA,19,22,82,51,31,1509,941,568,1724,1035,689,0.6,17.0,9.0,8.0,169.0,85.0,84.0,175.0,87.0,88.0,2007
Eddie Jordan,WAS,4,6,82,41,41,328,153,175,425,186,239,0.438,4.0,0.0,4.0,20.0,6.0,14.0,20.0,6.0,14.0,2007
