Unnamed: 0_level_0 Unnamed: 0_level_1 Coach,Unnamed: 1_level_0 Unnamed: 1_level_1 Tm,Seasons w/ Franch #,Seasons Overall #,Regular Season Current Season G,Regular Season Current Season W,Regular Season Current Season L,Regular Season w/ Franchise G,Regular Season w/ Franchise W,Regular Season w/ Franchise L,Regular Season Career G,Regular Season Career W,Regular Season Career L,Regular Season Career W%,Playoffs Current Season G,Playoffs Current Season W,Playoffs Current Season L,Playoffs w/ Franchise G,Playoffs w/ Franchise W,Playoffs w/ Franchise L,Playoffs Career G,Playoffs Career W,Playoffs Career L
Mike Woodson,ATL,5,5,82,47,35,410,153,257,410,153,257,0.373,11.0,4.0,7.0,18.0,7.0,11.0,18.0,7.0,11.0
Doc Rivers,BOS,5,10,82,62,20,410,230,180,749,401,348,0.535,14.0,7.0,7.0,47.0,26.0,21.0,62.0,31.0,31.0
Larry Brown,CHA,1,28,82,35,47,82,35,47,2228,1274,954,0.572,0.0,0.0,0.0,0.0,0.0,0.0,231.0,120.0,111.0
Vinny Del Negro,CHI,1,1,82,41,41,82,41,41,82,41,41,0.5,7.0,3.0,4.0,7.0,3.0,4.0,7.0,3.0,4.0
Mike Brown,CLE,4,4,82,66,16,328,211,117,328,211,117,0.643,14.0,10.0,4.0,60.0,36.0,24.0,60.0,36.0,24.0
Rick Carlisle,DAL,1,7,82,50,32,82,50,32,574,331,243,0.577,10.0,5.0,5.0,10.0,5.0,5.0,72.0,35.0,37.0
George Karl,DEN,5,21,82,54,28,368,225,143,1575,933,642,0.592,16.0,10.0,6.0,35.0,13.0,22.0,161.0,72.0,89.0
Michael Curry,DET,1,1,82,39,43,82,39,43,82,39,43,0.476,4.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0
Don Nelson,GSW,10,30,82,29,53,783,396,387,2316,1309,1007,0.565,0.0,0.0,0.0,35.0,14.0,21.0,166.0,75.0,91.0
Rick Adelman,HOU,2,18,82,53,29,164,108,56,1397,860,537,0.616,13.0,7.0,6.0,19.0,9.0,10.0,157.0,79.0,78.0
Jim O'Brien,IND,2,7,82,36,46,164,72,92,504,254,250,0.504,0.0,0.0,0.0,0.0,0.0,0.0,31.0,14.0,17.0
Mike Dunleavy,LAC,6,16,82,19,63,492,194,298,1280,592,688,0.463,0.0,0.0,0.0,12.0,7.0,5.0,71.0,38.0,33.0
Phil Jackson,LAL,9,18,82,65,17,738,496,242,1476,1041,435,0.705,23.0,16.0,7.0,148.0,98.0,50.0,300.0,209.0,91.0
Marc Iavaroni,MEM,2,2,41,11,30,123,33,90,123,33,90,0.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Johnny Davis,MEM,1,4,2,0,2,2,0,2,219,73,146,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lionel Hollins,MEM,3,3,39,13,26,103,31,72,103,31,72,0.301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erik Spoelstra,MIA,1,1,82,43,39,82,43,39,82,43,39,0.524,7.0,3.0,4.0,7.0,3.0,4.0,7.0,3.0,4.0
Scott Skiles,MIL,1,9,82,34,48,82,34,48,614,315,299,0.513,0.0,0.0,0.0,0.0,0.0,0.0,35.0,15.0,20.0
Randy Wittman,MIN,3,5,19,4,15,143,38,105,307,100,207,0.326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin McHale,MIN,2,2,63,20,43,94,39,55,94,39,55,0.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lawrence Frank,NJN,6,6,82,34,48,450,225,225,450,225,225,0.5,0.0,0.0,0.0,38.0,18.0,20.0,38.0,18.0,20.0
Byron Scott,NOH,5,9,82,49,33,410,200,210,698,349,349,0.5,5.0,1.0,4.0,17.0,8.0,9.0,57.0,33.0,24.0
Mike D'Antoni,NYK,1,7,82,32,50,82,32,50,521,299,222,0.574,0.0,0.0,0.0,0.0,0.0,0.0,51.0,26.0,25.0
P.J. Carlesimo,OKC,2,8,13,1,12,95,21,74,500,204,296,0.408,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,9.0
Scott Brooks,OKC,1,1,69,22,47,69,22,47,69,22,47,0.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stan Van Gundy,ORL,2,5,82,59,23,164,111,53,349,223,126,0.639,24.0,13.0,11.0,34.0,18.0,16.0,62.0,35.0,27.0
Maurice Cheeks,PHI,4,8,23,9,14,269,122,147,570,284,286,0.498,0.0,0.0,0.0,6.0,2.0,4.0,16.0,5.0,11.0
Tony DiLeo,PHI,1,1,59,32,27,59,32,27,59,32,27,0.542,6.0,2.0,4.0,6.0,2.0,4.0,6.0,2.0,4.0
Terry Porter,PHO,1,3,51,28,23,51,28,23,215,99,116,0.46,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0
Alvin Gentry,PHO,1,8,31,18,13,31,18,13,434,195,239,0.449,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0
Nate McMillan,POR,4,9,82,54,28,328,148,180,723,360,363,0.498,6.0,2.0,4.0,6.0,2.0,4.0,22.0,10.0,12.0
Reggie Theus,SAC,2,2,24,6,18,106,44,62,106,44,62,0.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenny Natt,SAC,1,1,58,11,47,58,11,47,58,11,47,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gregg Popovich,SAS,13,13,82,54,28,1016,686,330,1016,686,330,0.675,5.0,1.0,4.0,165.0,102.0,63.0,165.0,102.0,63.0
Sam Mitchell,TOR,5,5,17,8,9,345,156,189,345,156,189,0.452,0.0,0.0,0.0,11.0,3.0,8.0,11.0,3.0,8.0
Jay Triano,TOR,1,1,65,25,40,65,25,40,65,25,40,0.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
