Unnamed: 0_level_0 Unnamed: 0_level_1 Coach,Unnamed: 1_level_0 Unnamed: 1_level_1 Tm,Seasons w/ Franch #,Seasons Overall #,Regular Season Current Season G,Regular Season Current Season W,Regular Season Current Season L,Regular Season w/ Franchise G,Regular Season w/ Franchise W,Regular Season w/ Franchise L,Regular Season Career G,Regular Season Career W,Regular Season Career L,Regular Season Career W%,Playoffs Current Season G,Playoffs Current Season W,Playoffs Current Season L,Playoffs w/ Franchise G,Playoffs w/ Franchise W,Playoffs w/ Franchise L,Playoffs Career G,Playoffs Career W,Playoffs Career L
Mike Woodson,ATL,6,6,82,53,29,492,206,286,492,206,286,0.419,11.0,4.0,7.0,29.0,11.0,18.0,29.0,11.0,18.0
Doc Rivers,BOS,6,11,82,50,32,492,280,212,831,451,380,0.543,24.0,15.0,9.0,71.0,41.0,30.0,86.0,46.0,40.0
Larry Brown,CHA,2,29,82,44,38,164,79,85,2310,1318,992,0.571,4.0,0.0,4.0,4.0,0.0,4.0,235.0,120.0,115.0
Vinny Del Negro,CHI,2,2,82,41,41,164,82,82,164,82,82,0.5,5.0,1.0,4.0,12.0,4.0,8.0,12.0,4.0,8.0
Mike Brown,CLE,5,5,82,61,21,410,272,138,410,272,138,0.663,11.0,6.0,5.0,71.0,42.0,29.0,71.0,42.0,29.0
Rick Carlisle,DAL,2,8,82,55,27,164,105,59,656,386,270,0.588,6.0,2.0,4.0,16.0,7.0,9.0,78.0,37.0,41.0
George Karl,DEN,6,22,82,53,29,450,278,172,1657,986,671,0.595,6.0,2.0,4.0,41.0,15.0,26.0,167.0,74.0,93.0
John Kuester,DET,1,1,82,27,55,82,27,55,82,27,55,0.329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Don Nelson,GSW,11,31,82,26,56,865,422,443,2398,1335,1063,0.557,0.0,0.0,0.0,35.0,14.0,21.0,166.0,75.0,91.0
Rick Adelman,HOU,3,19,82,42,40,246,150,96,1479,902,577,0.61,0.0,0.0,0.0,19.0,9.0,10.0,157.0,79.0,78.0
Jim O'Brien,IND,3,8,82,32,50,246,104,142,586,286,300,0.488,0.0,0.0,0.0,0.0,0.0,0.0,31.0,14.0,17.0
Mike Dunleavy,LAC,7,17,49,21,28,541,215,326,1329,613,716,0.461,0.0,0.0,0.0,12.0,7.0,5.0,71.0,38.0,33.0
Kim Hughes,LAC,1,1,33,8,25,33,8,25,33,8,25,0.242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phil Jackson,LAL,10,19,82,57,25,820,553,267,1558,1098,460,0.705,23.0,16.0,7.0,171.0,114.0,57.0,323.0,225.0,98.0
Lionel Hollins,MEM,4,4,82,40,42,185,71,114,185,71,114,0.384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erik Spoelstra,MIA,2,2,82,47,35,164,90,74,164,90,74,0.549,5.0,1.0,4.0,12.0,4.0,8.0,12.0,4.0,8.0
Scott Skiles,MIL,2,10,82,46,36,164,80,84,696,361,335,0.519,7.0,3.0,4.0,7.0,3.0,4.0,42.0,18.0,24.0
Kurt Rambis,MIN,1,2,82,15,67,82,15,67,119,39,80,0.328,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,5.0
Lawrence Frank,NJN,7,7,16,0,16,466,225,241,466,225,241,0.483,0.0,0.0,0.0,38.0,18.0,20.0,38.0,18.0,20.0
Tom Barrise,NJN,1,1,2,0,2,2,0,2,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kiki Vandeweghe,NJN,1,1,64,12,52,64,12,52,64,12,52,0.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Byron Scott,NOH,6,10,9,3,6,419,203,216,707,352,355,0.498,0.0,0.0,0.0,17.0,8.0,9.0,57.0,33.0,24.0
Jeff Bower,NOH,1,1,73,34,39,73,34,39,73,34,39,0.466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike D'Antoni,NYK,2,8,82,29,53,164,61,103,603,328,275,0.544,0.0,0.0,0.0,0.0,0.0,0.0,51.0,26.0,25.0
Scott Brooks,OKC,2,2,82,50,32,151,72,79,151,72,79,0.477,6.0,2.0,4.0,6.0,2.0,4.0,6.0,2.0,4.0
Stan Van Gundy,ORL,3,6,82,59,23,246,170,76,431,282,149,0.654,14.0,10.0,4.0,48.0,28.0,20.0,76.0,45.0,31.0
Eddie Jordan,PHI,1,9,82,27,55,82,27,55,600,257,343,0.428,0.0,0.0,0.0,0.0,0.0,0.0,26.0,8.0,18.0
Alvin Gentry,PHO,2,9,82,54,28,113,72,41,516,249,267,0.483,16.0,10.0,6.0,16.0,10.0,6.0,21.0,12.0,9.0
Nate McMillan,POR,5,10,82,50,32,410,198,212,805,410,395,0.509,6.0,2.0,4.0,12.0,4.0,8.0,28.0,12.0,16.0
Paul Westphal,SAC,1,8,82,25,57,82,25,57,508,292,216,0.575,0.0,0.0,0.0,0.0,0.0,0.0,49.0,27.0,22.0
Gregg Popovich,SAS,14,14,82,50,32,1098,736,362,1098,736,362,0.67,10.0,4.0,6.0,175.0,106.0,69.0,175.0,106.0,69.0
Jay Triano,TOR,2,2,82,40,42,147,65,82,147,65,82,0.442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jerry Sloan,UTA,22,25,82,53,29,1755,1096,659,1970,1190,780,0.604,10.0,4.0,6.0,196.0,96.0,100.0,202.0,98.0,104.0
Flip Saunders,WAS,1,14,82,26,56,82,26,56,1065,613,452,0.576,0.0,0.0,0.0,0.0,0.0,0.0,98.0,47.0,51.0
