Unnamed: 0_level_0 Unnamed: 0_level_1 Coach,Unnamed: 1_level_0 Unnamed: 1_level_1 Tm,Unnamed: 2_level_0 Unnamed: 2_level_1 Unnamed: 2_level_2,Seasons w/ Franch #,Seasons Overall #,Unnamed: 5_level_0 Unnamed: 5_level_1 Unnamed: 5_level_2,Regular Season Current Season G,Regular Season Current Season W,Regular Season Current Season L,Regular Season w/ Franchise G,Regular Season w/ Franchise W,Regular Season w/ Franchise L,Regular Season Career G,Regular Season Career W,Regular Season Career L,Regular Season Career W%,Unnamed: 16_level_0 Unnamed: 16_level_1 Unnamed: 16_level_2,Playoffs Current Season G,Playoffs Current Season W,Playoffs Current Season L,Playoffs w/ Franchise G,Playoffs w/ Franchise W,Playoffs w/ Franchise L,Playoffs Career G,Playoffs Career W,Playoffs Career L
Lloyd Pierce,ATL,,2,2,,67,20,47,149,49,100,149,49,100,0.329,,,,,,,,,,
Brad Stevens,BOS,,7,7,,72,48,24,564,318,246,564,318,246,0.564,,17.0,10.0,7.0,73.0,37.0,36.0,73.0,37.0,36.0
Kenny Atkinson,BRK,,4,4,,62,28,34,308,118,190,308,118,190,0.383,,,,,5.0,1.0,4.0,5.0,1.0,4.0
Jacque Vaughn,BRK,,1,4,,10,7,3,10,7,3,226,65,161,0.288,,4.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0
Jim Boylen,CHI,,2,2,,65,22,43,123,39,84,123,39,84,0.317,,,,,,,,,,
James Borrego,CHO,,2,3,,65,23,42,147,62,85,177,72,105,0.407,,,,,,,,,,
John Beilein,CLE,,1,1,,54,14,40,54,14,40,54,14,40,0.259,,,,,,,,,,
J.B. Bickerstaff,CLE,,1,4,,11,5,6,11,5,6,227,90,137,0.396,,,,,,,,5.0,1.0,4.0
Rick Carlisle,DAL,,12,18,,75,43,32,961,513,448,1453,794,659,0.546,,6.0,2.0,4.0,64.0,30.0,34.0,126.0,60.0,66.0
Michael Malone,DEN,,5,7,,73,46,27,401,219,182,507,258,249,0.509,,19.0,9.0,10.0,33.0,16.0,17.0,33.0,16.0,17.0
Dwane Casey,DET,,2,11,,66,20,46,148,61,87,828,434,394,0.524,,,,,4.0,0.0,4.0,55.0,21.0,34.0
Steve Kerr,GSW,,6,6,,65,15,50,475,337,138,475,337,138,0.709,,,,,105.0,77.0,28.0,105.0,77.0,28.0
Mike D'Antoni,HOU,,4,16,,72,44,28,318,217,101,1199,672,527,0.56,,12.0,5.0,7.0,51.0,28.0,23.0,110.0,54.0,56.0
Nate McMillan,IND,,4,16,,73,45,28,319,183,136,1249,661,588,0.529,,4.0,0.0,4.0,19.0,3.0,16.0,53.0,17.0,36.0
Doc Rivers,LAC,,7,21,,72,49,23,564,356,208,1624,943,681,0.581,,13.0,7.0,6.0,59.0,27.0,32.0,180.0,91.0,89.0
Frank Vogel,LAL,,1,9,,71,52,19,71,52,19,666,356,310,0.535,,21.0,16.0,5.0,21.0,16.0,5.0,82.0,47.0,35.0
Taylor Jenkins,MEM,,1,1,,73,34,39,73,34,39,73,34,39,0.466,,,,,,,,,,
Erik Spoelstra,MIA,,12,12,,73,44,29,959,567,392,959,567,392,0.591,,21.0,14.0,7.0,139.0,85.0,54.0,139.0,85.0,54.0
Mike Budenholzer,MIL,,2,7,,73,56,17,155,116,39,565,329,236,0.582,,10.0,5.0,5.0,25.0,15.0,10.0,64.0,32.0,32.0
Ryan Saunders,MIN,,2,2,,64,19,45,106,36,70,106,36,70,0.34,,,,,,,,,,
Alvin Gentry,NOP,,5,17,,72,30,42,400,175,225,1105,510,595,0.462,,,,,9.0,5.0,4.0,30.0,17.0,13.0
David Fizdale,NYK,,2,4,,22,4,18,104,21,83,205,71,134,0.346,,,,,,,,6.0,2.0,4.0
Mike Miller,NYK,,1,1,,44,17,27,44,17,27,44,17,27,0.386,,,,,,,,,,
Billy Donovan,OKC,,5,5,,72,44,28,400,243,157,400,243,157,0.608,,7.0,3.0,4.0,41.0,18.0,23.0,41.0,18.0,23.0
Steve Clifford,ORL,,2,7,,73,33,40,155,75,80,565,271,294,0.48,,5.0,1.0,4.0,10.0,2.0,8.0,21.0,5.0,16.0
Brett Brown,PHI,,7,7,,73,43,30,565,221,344,565,221,344,0.391,,4.0,0.0,4.0,26.0,12.0,14.0,26.0,12.0,14.0
Monty Williams,PHO,,1,6,,73,34,39,73,34,39,467,207,260,0.443,,,,,,,,10.0,2.0,8.0
Terry Stotts,POR,,8,12,,74,35,39,648,360,288,931,475,456,0.51,,5.0,1.0,4.0,56.0,20.0,36.0,61.0,21.0,40.0
Luke Walton,SAC,,1,4,,72,31,41,72,31,41,318,129,189,0.406,,,,,,,,,,
Gregg Popovich,SAS,,24,24,,71,32,39,1891,1277,614,1891,1277,614,0.675,,,,,284.0,170.0,114.0,284.0,170.0,114.0
Nick Nurse,TOR,,2,2,,72,53,19,154,111,43,154,111,43,0.721,,11.0,7.0,4.0,35.0,23.0,12.0,35.0,23.0,12.0
Quin Snyder,UTA,,6,6,,72,44,28,482,271,211,482,271,211,0.562,,7.0,3.0,4.0,34.0,13.0,21.0,34.0,13.0,21.0
Scott Brooks,WAS,,4,11,,72,25,47,318,149,169,863,487,376,0.564,,,,,19.0,9.0,10.0,92.0,48.0,44.0
