Unnamed: 0_level_0 Unnamed: 0_level_1 Coach,Unnamed: 1_level_0 Unnamed: 1_level_1 Tm,Unnamed: 2_level_0 Unnamed: 2_level_1 Unnamed: 2_level_2,Seasons w/ Franch #,Seasons Overall #,Unnamed: 5_level_0 Unnamed: 5_level_1 Unnamed: 5_level_2,Regular Season Current Season G,Regular Season Current Season W,Regular Season Current Season L,Regular Season w/ Franchise G,Regular Season w/ Franchise W,Regular Season w/ Franchise L,Regular Season Career G,Regular Season Career W,Regular Season Career L,Regular Season Career W%,Unnamed: 16_level_0 Unnamed: 16_level_1 Unnamed: 16_level_2,Playoffs Current Season G,Playoffs Current Season W,Playoffs Current Season L,Playoffs w/ Franchise G,Playoffs w/ Franchise W,Playoffs w/ Franchise L,Playoffs Career G,Playoffs Career W,Playoffs Career L
Larry Drew,ATL,,2,2,,66,40,26,148,84,64,148,84,64,0.568,,6.0,2.0,4.0,18.0,8.0,10.0,18.0,8.0,10.0
Doc Rivers,BOS,,8,13,,66,39,27,640,375,265,979,546,433,0.558,,20.0,11.0,9.0,100.0,57.0,43.0,115.0,62.0,53.0
Paul Silas,CHA,,6,12,,66,7,59,401,193,208,875,387,488,0.442,,,,,23.0,11.0,12.0,29.0,13.0,16.0
Tom Thibodeau,CHI,,2,2,,66,50,16,148,112,36,148,112,36,0.757,,6.0,2.0,4.0,22.0,11.0,11.0,22.0,11.0,11.0
Byron Scott,CLE,,2,12,,66,21,45,148,40,108,855,392,463,0.458,,,,,,,,57.0,33.0,24.0
Rick Carlisle,DAL,,4,10,,66,36,30,312,198,114,804,479,325,0.596,,4.0,0.0,4.0,41.0,23.0,18.0,103.0,53.0,50.0
George Karl,DEN,,8,24,,66,38,28,598,366,232,1805,1074,731,0.595,,7.0,3.0,4.0,53.0,19.0,34.0,179.0,78.0,101.0
Lawrence Frank,DET,,1,8,,66,25,41,66,25,41,532,250,282,0.47,,,,,,,,38.0,18.0,20.0
Mark Jackson,GSW,,1,1,,66,23,43,66,23,43,66,23,43,0.348,,,,,,,,,,
Kevin McHale,HOU,,1,3,,66,34,32,66,34,32,160,73,87,0.456,,,,,,,,,,
Frank Vogel,IND,,2,2,,66,42,24,104,62,42,104,62,42,0.596,,11.0,6.0,5.0,16.0,7.0,9.0,16.0,7.0,9.0
Vinny Del Negro,LAC,,2,4,,66,40,26,148,72,76,312,154,158,0.494,,11.0,4.0,7.0,11.0,4.0,7.0,23.0,8.0,15.0
Mike Brown,LAL,,1,6,,66,41,25,66,41,25,476,313,163,0.658,,12.0,5.0,7.0,12.0,5.0,7.0,83.0,47.0,36.0
Lionel Hollins,MEM,,6,6,,66,41,25,333,158,175,333,158,175,0.474,,7.0,3.0,4.0,20.0,10.0,10.0,20.0,10.0,10.0
Erik Spoelstra,MIA,,4,4,,66,46,20,312,194,118,312,194,118,0.622,,23.0,16.0,7.0,56.0,34.0,22.0,56.0,34.0,22.0
Scott Skiles,MIL,,4,12,,66,31,35,312,146,166,844,427,417,0.506,,,,,7.0,3.0,4.0,42.0,18.0,24.0
Rick Adelman,MIN,,1,21,,66,26,40,66,26,40,1627,971,656,0.597,,,,,,,,157.0,79.0,78.0
Avery Johnson,NJN,,2,6,,66,22,44,148,46,102,412,240,172,0.583,,,,,,,,47.0,23.0,24.0
Monty Williams,NOH,,2,2,,66,21,45,148,67,81,148,67,81,0.453,,,,,6.0,2.0,4.0,6.0,2.0,4.0
Mike D'Antoni,NYK,,4,10,,42,18,24,288,121,167,727,388,339,0.534,,,,,4.0,0.0,4.0,55.0,26.0,29.0
Mike Woodson,NYK,,1,7,,24,18,6,24,18,6,516,224,292,0.434,,5.0,1.0,4.0,5.0,1.0,4.0,34.0,12.0,22.0
Scott Brooks,OKC,,4,4,,66,47,19,299,174,125,299,174,125,0.582,,20.0,13.0,7.0,43.0,24.0,19.0,43.0,24.0,19.0
Stan Van Gundy,ORL,,5,8,,66,37,29,394,259,135,579,371,208,0.641,,5.0,1.0,4.0,59.0,31.0,28.0,87.0,48.0,39.0
Doug Collins,PHI,,2,10,,66,35,31,148,76,72,767,408,359,0.532,,13.0,7.0,6.0,18.0,8.0,10.0,56.0,23.0,33.0
Alvin Gentry,PHO,,4,11,,66,33,33,261,145,116,664,322,342,0.485,,,,,16.0,10.0,6.0,21.0,12.0,9.0
Nate McMillan,POR,,7,12,,43,20,23,535,266,269,930,478,452,0.514,,,,,18.0,6.0,12.0,34.0,14.0,20.0
Kaleb Canales,POR,,1,1,,23,8,15,23,8,15,23,8,15,0.348,,,,,,,,,,
Paul Westphal,SAC,,3,10,,7,2,5,171,51,120,597,318,279,0.533,,,,,,,,49.0,27.0,22.0
Keith Smart,SAC,,1,3,,59,20,39,59,20,39,181,65,116,0.359,,,,,,,,,,
Gregg Popovich,SAS,,16,16,,66,50,16,1246,847,399,1246,847,399,0.68,,14.0,10.0,4.0,195.0,118.0,77.0,195.0,118.0,77.0
Dwane Casey,TOR,,1,3,,66,23,43,66,23,43,188,76,112,0.404,,,,,,,,,,
Tyrone Corbin,UTA,,2,2,,66,36,30,94,44,50,94,44,50,0.468,,4.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0
Flip Saunders,WAS,,3,16,,17,2,15,181,51,130,1164,638,526,0.548,,,,,,,,98.0,47.0,51.0
Randy Wittman,WAS,,1,6,,49,18,31,49,18,31,356,118,238,0.331,,,,,,,,,,
