Unnamed: 0_level_0 Unnamed: 0_level_1 Coach,Unnamed: 1_level_0 Unnamed: 1_level_1 Tm,Unnamed: 2_level_0 Unnamed: 2_level_1 Unnamed: 2_level_2,Seasons w/ Franch #,Seasons Overall #,Unnamed: 5_level_0 Unnamed: 5_level_1 Unnamed: 5_level_2,Regular Season Current Season G,Regular Season Current Season W,Regular Season Current Season L,Regular Season w/ Franchise G,Regular Season w/ Franchise W,Regular Season w/ Franchise L,Regular Season Career G,Regular Season Career W,Regular Season Career L,Regular Season Career W%,Unnamed: 16_level_0 Unnamed: 16_level_1 Unnamed: 16_level_2,Playoffs Current Season G,Playoffs Current Season W,Playoffs Current Season L,Playoffs w/ Franchise G,Playoffs w/ Franchise W,Playoffs w/ Franchise L,Playoffs Career G,Playoffs Career W,Playoffs Career L
Nate McMillan,ATL,,2,18,,82,43,39,120,70,50,1369,731,638,0.534,,5.0,1.0,4.0,23.0,11.0,12.0,76.0,28.0,48.0
Ime Udoka,BOS,,1,1,,82,51,31,82,51,31,82,51,31,0.622,,24.0,14.0,10.0,24.0,14.0,10.0,24.0,14.0,10.0
Steve Nash,BRK,,2,2,,82,44,38,154,92,62,154,92,62,0.597,,4.0,0.0,4.0,16.0,7.0,9.0,16.0,7.0,9.0
Billy Donovan,CHI,,2,7,,82,46,36,154,77,77,554,320,234,0.578,,5.0,1.0,4.0,5.0,1.0,4.0,46.0,19.0,27.0
James Borrego,CHO,,4,5,,82,43,39,301,138,163,331,148,183,0.447,,,,,,,,,,
J.B. Bickerstaff,CLE,,3,6,,82,44,38,165,71,94,381,156,225,0.409,,,,,,,,5.0,1.0,4.0
Jason Kidd,DAL,,1,6,,82,52,30,82,52,30,455,235,220,0.516,,18.0,9.0,9.0,18.0,9.0,9.0,42.0,18.0,24.0
Michael Malone,DEN,,7,9,,82,48,34,555,314,241,661,353,308,0.534,,5.0,1.0,4.0,48.0,21.0,27.0,48.0,21.0,27.0
Dwane Casey,DET,,4,13,,82,23,59,302,104,198,982,477,505,0.486,,,,,4.0,0.0,4.0,55.0,21.0,34.0
Steve Kerr,GSW,,8,8,,82,53,29,629,429,200,629,429,200,0.682,,22.0,16.0,6.0,127.0,93.0,34.0,127.0,93.0,34.0
Stephen Silas,HOU,,2,2,,82,20,62,154,37,117,154,37,117,0.24,,,,,,,,,,
Rick Carlisle,IND,,5,20,,82,25,57,410,206,204,1607,861,746,0.536,,,,,35.0,18.0,17.0,133.0,63.0,70.0
Tyronn Lue,LAC,,2,6,,82,42,40,154,89,65,365,217,148,0.595,,,,,19.0,10.0,9.0,80.0,51.0,29.0
Frank Vogel,LAL,,3,11,,82,33,49,225,127,98,820,431,389,0.526,,,,,27.0,18.0,9.0,88.0,49.0,39.0
Taylor Jenkins,MEM,,3,3,,82,56,26,227,128,99,227,128,99,0.564,,12.0,6.0,6.0,17.0,7.0,10.0,17.0,7.0,10.0
Erik Spoelstra,MIA,,14,14,,82,53,29,1113,660,453,1113,660,453,0.593,,18.0,11.0,7.0,161.0,96.0,65.0,161.0,96.0,65.0
Mike Budenholzer,MIL,,4,9,,82,51,31,309,213,96,719,426,293,0.592,,12.0,7.0,5.0,60.0,38.0,22.0,99.0,55.0,44.0
Chris Finch,MIN,,2,2,,82,46,36,123,62,61,123,62,61,0.504,,6.0,2.0,4.0,6.0,2.0,4.0,6.0,2.0,4.0
Willie Green,NOP,,1,1,,82,36,46,82,36,46,82,36,46,0.439,,6.0,2.0,4.0,6.0,2.0,4.0,6.0,2.0,4.0
Tom Thibodeau,NYK,,2,10,,82,37,45,154,78,76,752,430,322,0.572,,,,,5.0,1.0,4.0,61.0,25.0,36.0
Mark Daigneault,OKC,,2,2,,82,24,58,154,46,108,154,46,108,0.299,,,,,,,,,,
Jamahl Mosley,ORL,,1,1,,82,22,60,82,22,60,82,22,60,0.268,,,,,,,,,,
Doc Rivers,PHI,,2,23,,82,51,31,154,100,54,1778,1043,735,0.587,,12.0,6.0,6.0,24.0,13.0,11.0,204.0,104.0,100.0
Monty Williams,PHO,,3,8,,82,64,18,227,149,78,621,322,299,0.519,,13.0,7.0,6.0,35.0,21.0,14.0,45.0,23.0,22.0
Chauncey Billups,POR,,1,1,,82,27,55,82,27,55,82,27,55,0.329,,,,,,,,,,
Luke Walton,SAC,,3,6,,17,6,11,161,68,93,407,166,241,0.408,,,,,,,,,,
Alvin Gentry,SAC,,1,18,,65,24,41,65,24,41,1170,534,636,0.456,,,,,,,,30.0,17.0,13.0
Gregg Popovich,SAS,,26,26,,82,34,48,2045,1344,701,2045,1344,701,0.657,,,,,284.0,170.0,114.0,284.0,170.0,114.0
Nick Nurse,TOR,,4,4,,82,48,34,308,186,122,308,186,122,0.604,,6.0,2.0,4.0,41.0,25.0,16.0,41.0,25.0,16.0
Quin Snyder,UTA,,8,8,,82,49,33,636,372,264,636,372,264,0.585,,6.0,2.0,4.0,51.0,21.0,30.0,51.0,21.0,30.0
Wes Unseld,WAS,,1,1,,82,35,47,82,35,47,82,35,47,0.427,,,,,,,,,,
