Unnamed: 0_level_0 Unnamed: 0_level_1 Coach,Unnamed: 1_level_0 Unnamed: 1_level_1 Tm,Unnamed: 2_level_0 Unnamed: 2_level_1 Unnamed: 2_level_2,Seasons w/ Franch #,Seasons Overall #,Unnamed: 5_level_0 Unnamed: 5_level_1 Unnamed: 5_level_2,Regular Season Current Season G,Regular Season Current Season W,Regular Season Current Season L,Regular Season w/ Franchise G,Regular Season w/ Franchise W,Regular Season w/ Franchise L,Regular Season Career G,Regular Season Career W,Regular Season Career L,Regular Season Career W%,Unnamed: 16_level_0 Unnamed: 16_level_1 Unnamed: 16_level_2,Playoffs Current Season G,Playoffs Current Season W,Playoffs Current Season L,Playoffs w/ Franchise G,Playoffs w/ Franchise W,Playoffs w/ Franchise L,Playoffs Career G,Playoffs Career W,Playoffs Career L
Quin Snyder,ATL,,2,10,,82,36,46,103,46,57,739,418,321,0.566,,,,,6.0,2.0,4.0,57.0,23.0,34.0
Joe Mazzulla,BOS,,2,2,,82,64,18,164,121,43,164,121,43,0.738,,19.0,16.0,3.0,39.0,27.0,12.0,39.0,27.0,12.0
Jacque Vaughn,BRK,,3,6,,54,21,33,139,71,68,355,129,226,0.363,,,,,8.0,0.0,8.0,8.0,0.0,8.0
Kevin Ollie,BRK,,1,1,,28,11,17,28,11,17,28,11,17,0.393,,,,,,,,,,
Billy Donovan,CHI,,4,9,,82,39,43,318,156,162,718,399,319,0.556,,,,,5.0,1.0,4.0,46.0,19.0,27.0
Steve Clifford,CHO,,7,10,,82,21,61,574,244,330,801,340,461,0.424,,,,,11.0,3.0,8.0,21.0,5.0,16.0
J.B. Bickerstaff,CLE,,5,8,,82,48,34,329,170,159,545,255,290,0.468,,12.0,5.0,7.0,17.0,6.0,11.0,22.0,7.0,15.0
Jason Kidd,DAL,,3,8,,82,50,32,246,140,106,619,323,296,0.522,,22.0,13.0,9.0,40.0,22.0,18.0,64.0,31.0,33.0
Michael Malone,DEN,,9,11,,82,57,25,719,424,295,825,463,362,0.561,,12.0,7.0,5.0,80.0,44.0,36.0,80.0,44.0,36.0
Monty Williams,DET,,1,10,,82,14,68,82,14,68,785,381,404,0.485,,,,,,,,56.0,29.0,27.0
Steve Kerr,GSW,,10,10,,82,46,36,793,519,274,793,519,274,0.654,,,,,140.0,99.0,41.0,140.0,99.0,41.0
Ime Udoka,HOU,,1,2,,82,41,41,82,41,41,164,92,72,0.561,,,,,,,,24.0,14.0,10.0
Rick Carlisle,IND,,7,22,,82,47,35,574,288,286,1771,943,828,0.532,,17.0,8.0,9.0,52.0,26.0,26.0,150.0,71.0,79.0
Tyronn Lue,LAC,,4,8,,82,51,31,318,184,134,529,312,217,0.59,,6.0,2.0,4.0,30.0,13.0,17.0,91.0,54.0,37.0
Darvin Ham,LAL,,2,2,,82,47,35,164,90,74,164,90,74,0.549,,5.0,1.0,4.0,21.0,9.0,12.0,21.0,9.0,12.0
Taylor Jenkins,MEM,,5,5,,82,27,55,391,206,185,391,206,185,0.527,,,,,23.0,9.0,14.0,23.0,9.0,14.0
Erik Spoelstra,MIA,,16,16,,82,46,36,1277,750,527,1277,750,527,0.587,,5.0,1.0,4.0,189.0,110.0,79.0,189.0,110.0,79.0
Adrian Griffin,MIL,,1,1,,43,30,13,43,30,13,43,30,13,0.698,,,,,,,,,,
Joe Prunty,MIL,,2,3,,3,2,1,40,23,17,42,25,17,0.595,,,,,7.0,3.0,4.0,7.0,3.0,4.0
Doc Rivers,MIL,,1,25,,36,17,19,36,17,19,1896,1114,782,0.588,,6.0,2.0,4.0,6.0,2.0,4.0,221.0,113.0,108.0
Chris Finch,MIN,,4,4,,82,56,26,287,160,127,287,160,127,0.557,,16.0,9.0,7.0,27.0,12.0,15.0,27.0,12.0,15.0
Willie Green,NOP,,3,3,,82,49,33,246,127,119,246,127,119,0.516,,4.0,0.0,4.0,10.0,2.0,8.0,10.0,2.0,8.0
Tom Thibodeau,NYK,,4,12,,82,50,32,318,175,143,916,527,389,0.575,,13.0,7.0,6.0,29.0,14.0,15.0,85.0,38.0,47.0
Mark Daigneault,OKC,,4,4,,82,57,25,318,143,175,318,143,175,0.45,,10.0,6.0,4.0,10.0,6.0,4.0,10.0,6.0,4.0
Jamahl Mosley,ORL,,3,3,,82,47,35,246,103,143,246,103,143,0.419,,7.0,3.0,4.0,7.0,3.0,4.0,7.0,3.0,4.0
Nick Nurse,PHI,,1,6,,82,47,35,82,47,35,472,274,198,0.581,,6.0,2.0,4.0,6.0,2.0,4.0,47.0,27.0,20.0
Frank Vogel,PHO,,1,12,,82,49,33,82,49,33,902,480,422,0.532,,4.0,0.0,4.0,4.0,0.0,4.0,92.0,49.0,43.0
Chauncey Billups,POR,,3,3,,82,21,61,246,81,165,246,81,165,0.329,,,,,,,,,,
Mike Brown,SAC,,2,10,,82,46,36,164,94,70,727,441,286,0.607,,,,,7.0,3.0,4.0,90.0,50.0,40.0
Gregg Popovich,SAS,,28,28,,82,22,60,2209,1388,821,2209,1388,821,0.628,,,,,284.0,170.0,114.0,284.0,170.0,114.0
Darko Rajakovic,TOR,,1,1,,82,25,57,82,25,57,82,25,57,0.305,,,,,,,,,,
Will Hardy,UTA,,2,2,,82,31,51,164,68,96,164,68,96,0.415,,,,,,,,,,
Wes Unseld,WAS,,3,3,,43,7,36,207,77,130,207,77,130,0.372,,,,,,,,,,
Brian Keefe,WAS,,1,1,,39,8,31,39,8,31,39,8,31,0.205,,,,,,,,,,
