Player,Salary,Year
Stephen Curry,40231758,2020
Chris Paul,38506482,2020
Russell Westbrook,38506482,2020
John Wall,38199000,2020
James Harden,38199000,2020
LeBron James,37436858,2020
Kevin Durant,37199000,2020
Blake Griffin,34449964,2020
Kyle Lowry,33296296,2020
Paul George,33005556,2020
Tobias Harris,32742000,2020
Jimmy Butler,32742000,2020
Kawhi Leonard,32742000,2020
Klay Thompson,32742000,2020
Kemba Walker,32742000,2020
Gordon Hayward,32700690,2020
Mike Conley,32511623,2020
Kyrie Irving,31742000,2020
Khris Middleton,30603448,2020
Paul Millsap,30350000,2020
Damian Lillard,29802321,2020
Kevin Love,28942830,2020
Al Horford,28000000,2020
Nikola Vucevic,28000000,2020
DeMar DeRozan,27739975,2020
CJ McCollum,27556959,2020
Joel Embiid,27504630,2020
Andrew Wiggins,27504630,2020
Nikola Jokic,27504630,2020
Devin Booker,27285000,2020
D'Angelo Russell,27285000,2020
Karl-Anthony Towns,27285000,2020
Kristaps Porzingis,27285000,2020
Otto Porter,27250576,2020
Anthony Davis,27093019,2020
Bradley Beal,27093018,2020
Hassan Whiteside,27093018,2020
Andre Drummond,27093018,2020
Jrue Holiday,26131111,2020
LaMarcus Aldridge,26000000,2020
Steven Adams,25842697,2020
Giannis Antetokounmpo,25842697,2020
Marc Gasol,25595700,2020
Nicolas Batum,25565217,2020
Rudy Gobert,25258427,2020
Chandler Parsons,25102512,2020
Harrison Barnes,24147727,2020
Serge Ibaka,23271604,2020
Danilo Gallinari,22615559,2020
Victor Oladipo,21000000,2020
Tim Hardaway Jr,20025127,2020
Malcolm Brogdon,20000000,2020
Terry Rozier,19894737,2020
Aaron Gordon,19863636,2020
Zach LaVine,19500000,2020
Kent Bazemore,19269663,2020
Goran Dragic,19217900,2020
Jeff Teague,19000000,2020
Evan Turner,18606556,2020
Draymond Green,18539130,2020
Tristan Thompson,18539130,2020
Gary Harris,18189286,2020
Julius Randle,18000000,2020
Myles Turner,18000000,2020
Derrick Favors,17650000,2020
Andre Iguodala,17185185,2020
Evan Fournier,17150000,2020
Bojan Bogdanovic,17000000,2020
Bismack Biyombo,17000000,2020
Clint Capela,16896552,2020
Gorgui Dieng,16229213,2020
Ricky Rubio,16200000,2020
Jonas Valanciunas,16000000,2020
Brandon Knight,15643750,2020
Kelly Oubre,15625000,2020
Eric Bledsoe,15625000,2020
Dennis Schroeder,15500000,2020
Ian Mahinmi,15450051,2020
James Johnson,15349400,2020
Bobby Portis,15000000,2020
Marcus Morris,15000000,2020
