Player,Salary,Year
Kevin Garnett,23750000,2008
Michael Finley,21696750,2008
Shaquille O'Neal,20000000,2008
Jermaine O'Neal,19728000,2008
Jason Kidd,19728000,2008
Chris Webber,19602173,2008
Kobe Bryant,19490625,2008
Tim Duncan,19014188,2008
Tracy McGrady,19014187,2008
Stephon Marbury,19012500,2008
Allen Iverson,19012500,2008
Steve Francis,17500000,2008
Shawn Marion,16440000,2008
Baron Davis,16440000,2008
Antawn Jamison,16360094,2008
Dirk Nowitzki,16360094,2008
Paul Pierce,16360094,2008
Ray Allen,16000000,2008
Ben Wallace,15500000,2008
Elton Brand,15344000,2008
Rashard Lewis,14880000,2008
Michael Redd,14520000,2008
Amare Stoudemire,13762775,2008
Yao Ming,13762775,2008
Andrei Kirilenko,13735000,2008
Pau Gasol,13735000,2008
Mike Bibby,13500000,2008
Joe Johnson,13488377,2008
Zach Randolph,13333333,2008
Vince Carter,13320000,2008
Kenyon Martin,13250000,2008
Lamar Odom,13248596,2008
Dwyane Wade,13041250,2008
Carmelo Anthony,13041250,2008
LeBron James,13041250,2008
Wally Szczerbiak,12775000,2008
Rasheed Wallace,12540000,2008
Chris Bosh,12455000,2008
Raef LaFrentz,12440787,2008
Richard Jefferson,12200000,2008
Larry Hughes,12000084,2008
Gilbert Arenas,11950400,2008
Theo Ratliff,11666666,2008
Predrag Stojakovic,11664000,2008
Steve Nash,11375000,2008
Carlos Boozer,11260483,2008
Marcus Camby,11250000,2008
Kirk Hinrich,11250000,2008
Jason Richardson,11111110,2008
Derek Fisher,10723900,2008
David West,10650000,2008
Erick Dampier,10590500,2008
Tony Parker,10500000,2008
Brad Miller,10500000,2008
Samuel Dalembert,10250000,2008
Tyson Chandler,10250000,2008
Adonal Foyle,10157090,2008
Zydrunas Ilgauskas,10142156,2008
Richard Hamilton,10000000,2008
Chauncey Billups,10000000,2008
Gerald Wallace,9500000,2008
Andre Miller,9366666,2008
Bobby Simmons,9280000,2008
Troy Murphy,9206349,2008
Manu Ginobili,9079811,2008
Kwame Brown,9075000,2008
Boris Diaw,9000000,2008
Josh Howard,9000000,2008
Eddy Curry,8947543,2008
Jason Williams,8937500,2008
Jason Terry,8898000,2008
Nenê,8840000,2008
Tayshaun Prince,8675620,2008
Chris Kaman,8600000,2008
Mehmet Okur,8500000,2008
Andres Nocioni,8500000,2008
Al Harrington,8425625,2008
Mike Miller,8376194,2008
Cuttino Mobley,8350000,2008
Antoine Walker,8329640,2008
Darius Miles,8250000,2008
Mike Dunleavy,8219008,2008
Caron Butler,8218990,2008
Quentin Richardson,8105500,2008
Juwan Howard,8094997,2008
Kurt Thomas,8091188,2008
TJ Ford,8000000,2008
Jamal Crawford,7920000,2008
Mark Blount,7901040,2008
Kenny Thomas,7875000,2008
Radoslav Nesterovic,7840000,2008
Maurice Williams,7750000,2008
Aaron McKie,7750000,2008
Jerome Williams,7639400,2008
Metta World Peace,7400000,2008
Troy Hudson,7172590,2008
Malik Rose,7101250,2008
Corey Maggette,7000000,2008
Ricky Davis,6819000,2008
Jerry Stackhouse,6750000,2008
Eric Snow,6703125,2008
Stephen Jackson,6630000,2008
Luke Ridnour,6500000,2008
Chris Wilcox,6500000,2008
Darko Milicic,6500000,2008
Drew Gooden,6453416,2008
Etan Thomas,6373900,2008
Hidayet Turkoglu,6373900,2008
Marquis Daniels,6373900,2008
Antonio McDyess,6373900,2008
Speedy Claxton,6306182,2008
Jamaal Tinsley,6300000,2008
Sam Cassell,6150000,2008
