Player,Salary,Year
Kobe Bryant,30453000,2014
Dirk Nowitzki,22721381,2014
Gilbert Arenas,22346536,2014
Amare Stoudemire,21679893,2014
Carmelo Anthony,21490000,2014
Joe Johnson,21466718,2014
Dwight Howard,20513178,2014
Pau Gasol,19285850,2014
LeBron James,19067500,2014
Chris Bosh,19067500,2014
Kevin Durant,18773176,2014
Chris Paul,18668431,2014
Dwyane Wade,18536000,2014
Deron Williams,18466130,2014
Rudy Gay,17888932,2014
Zach Randolph,17800000,2014
Brandon Roy,17779458,2014
Derrick Rose,17632688,2014
Blake Griffin,16402500,2014
Paul Pierce,15333334,2014
Carlos Boozer,15300000,2014
Marc Gasol,14860523,2014
Brook Lopez,14694000,2014
Russell Westbrook,14693906,2014
Kevin Love,14693906,2014
Emeka Okafor,14544687,2014
Danny Granger,14379240,2014
Luol Deng,14312125,2014
Eric Gordon,14283844,2014
Roy Hibbert,14283844,2014
Andrew Bogut,14200000,2014
Tyson Chandler,14100538,2014
LaMarcus Aldridge,14100000,2014
Josh Smith,14000000,2014
David Lee,13878000,2014
James Harden,13668750,2014
Al Jefferson,13500000,2014
Ben Gordon,13200000,2014
Nenê,13000000,2014
Andre Iguodala,12868632,2014
Tony Parker,12500000,2014
Serge Ibaka,12250000,2014
Nikola Pekovic,12100000,2014
David West,12000000,2014
Kris Humphries,12000000,2014
Rajon Rondo,12000000,2014
Al Horford,12000000,2014
Tyreke Evans,11796247,2014
Joakim Noah,11600000,2014
Kevin Garnett,11532468,2014
Richard Jefferson,11046000,2014
Andrea Bargnani,11000000,2014
Jrue Holiday,11000000,2014
DeAndre Jordan,10986550,2014
Nicolas Batum,10920250,2014
Ty Lawson,10786517,2014
JaVale McGee,10750000,2014
Tim Duncan,10361446,2014
Danilo Gallinari,10146925,2014
Gerald Wallace,10105855,2014
Tiago Splitter,10000000,2014
Stephen Curry,9887642,2014
DeMar DeRozan,9500000,2014
Paul Millsap,9500000,2014
Metta World Peace,9317280,2014
Shawn Marion,9316796,2014
Steve Nash,9300500,2014
Andray Blatche,9170525,2014
Anderson Varejao,9100000,2014
Andris Biedrins,9000000,2014
Jeff Green,8700000,2014
Tyrus Thomas,8694215,2014
Thaddeus Young,8600000,2014
Jameer Nelson,8600000,2014
Charlie Villanueva,8580000,2014
Al Harrington,8548107,2014
Rodney Stuckey,8500000,2014
Kendrick Perkins,8477437,2014
Caron Butler,8386992,2014
Monta Ellis,8360000,2014
Ryan Anderson,8308500,2014
Marcus Thornton,8165000,2014
OJ Mayo,8000000,2014
George Hill,8000000,2014
Jeff Teague,8000000,2014
Ersan Ilyasova,7900000,2014
Mike Conley,7900000,2014
Marcin Gortat,7727280,2014
Trevor Ariza,7727280,2014
Brandon Jennings,7655503,2014
Mike Miller,7599507,2014
John Salmons,7580000,2014
Arron Afflalo,7562500,2014
Taj Gibson,7550000,2014
Marvin Williams,7500000,2014
Goran Dragic,7500000,2014
John Wall,7459924,2014
Josh Childress,7405833,2014
Tayshaun Prince,7235955,2014
Drew Gooden,7091619,2014
Brendan Haywood,7073500,2014
Michael Beasley,7027424,2014
Manu Ginobili,7000000,2014
Andrew Bynum,7000000,2014
Wesley Matthews,6875480,2014
Jose Calderon,6791570,2014
Kyle Korver,6760563,2014
Carl Landry,6750000,2014
Glen Davis,6750000,2014
Brandon Bass,6750000,2014
Evan Turner,6679866,2014
Hidayet Turkoglu,6650359,2014
Amir Johnson,6500000,2014
Kevin Martin,6500000,2014
JJ Redick,6500000,2014
Spencer Hawes,6500000,2014
Channing Frye,6400000,2014
Wilson Chandler,6344164,2014
Jarrett Jack,6300000,2014
Chris Andersen,6217507,2014
Kyle Lowry,6210000,2014
Jason Richardson,6204250,2014
Derrick Favors,6008106,2014
Gerald Henderson,6000000,2014
Kyrie Irving,5915880,2014
Chuck Hayes,5722500,2014
Jason Thompson,5643750,2014
JR Smith,5565000,2014
Anthony Davis,5375760,2014
Anthony Bennett,5324280,2014
Derrick Williams,5293080,2014
Landry Fields,5225000,2014
Jason Terry,5225000,2014
Courtney Lee,5225000,2014
Jamal Crawford,5225000,2014
Omer Asik,5225000,2014
Jeremy Lin,5225000,2014
Louis Williams,5225000,2014
Zaza Pachulia,5200000,2014
Martell Webster,5150000,2014
JJ Hickson,5150000,2014
Robin Lopez,5119761,2014
Keith Bogans,5058198,2014
Andre Miller,5000000,2014
Chase Budinger,5000000,2014
Ramon Sessions,5000000,2014
Tony Allen,5000000,2014
Brandan Wright,5000000,2014
DeMarcus Cousins,4916973,2014
Michael Kidd-Gilchrist,4809840,2014
Victor Oladipo,4763760,2014
Enes Kanter,4753320,2014
Boris Diaw,4702500,2014
Jose Juan Barea,4687000,2014
Linas Kleiza,4600000,2014
Luc Mbah a Moute,4588384,2014
Corey Brewer,4500000,2014
Luis Scola,4500000,2014
Jonas Jerebko,4500000,2014
Ekpe Udoh,4469547,2014
Timofey Mozgov,4400000,2014
Earl Clark,4361518,2014
Udonis Haslem,4340000,2014
Luke Ridnour,4320000,2014
Bradley Beal,4319280,2014
Tristan Thompson,4285560,2014
Otto Porter,4278000,2014
Jared Dudley,4250000,2014
Quentin Richardson,4208107,2014
Raymond Felton,4180000,2014
Greg Monroe,4086453,2014
Kirk Hinrich,4059000,2014
Ricky Rubio,4002120,2014
Brandon Rush,4000000,2014
Mario Chalmers,4000000,2014
Ian Mahinmi,4000000,2014
Steve Blake,4000000,2014
Elton Brand,4000000,2014
Matt Bonner,3945000,2014
Thabo Sefolosha,3900000,2014
Dion Waiters,3894240,2014
Cody Zeller,3857040,2014
Joel Anthony,3800000,2014
Danny Green,3762500,2014
Steve Novak,3750001,2014
Samuel Dalembert,3700748,2014
Al-Farouq Aminu,3700000,2014
Jonas Valanciunas,3526440,2014
Thomas Robinson,3526440,2014
Jan Vesely,3524880,2014
Gerald Green,3500000,2014
Jordan Hill,3500000,2014
Marreese Speights,3500000,2014
Alex Len,3492720,2014
