Player,Salary,Year
Kobe Bryant,25000000,2016
LeBron James,22970500,2016
Carmelo Anthony,22875000,2016
Dwight Howard,22359364,2016
Joe Johnson,22309344,2016
Chris Bosh,22192730,2016
Kevin Durant,21971850,2016
Chris Paul,21468695,2016
Derrick Rose,20093064,2016
Dwyane Wade,20000000,2016
LaMarcus Aldridge,19689000,2016
Marc Gasol,19689000,2016
DeAndre Jordan,19689000,2016
Kevin Love,19689000,2016
Brook Lopez,19689000,2016
Blake Griffin,18862876,2016
Paul Millsap,18671659,2016
David Lee,17120776,2016
Paul George,16900000,2016
Russell Westbrook,16744218,2016
Kawhi Leonard,16407500,2016
Enes Kanter,16407500,2016
Greg Monroe,16407500,2016
Wesley Matthews,16407500,2016
Kyrie Irving,16407500,2016
Jimmy Butler,16407500,2016
Tobias Harris,16000000,2016
James Harden,15719062,2016
Eric Gordon,15514031,2016
Roy Hibbert,15514031,2016
Klay Thompson,15501000,2016
Gordon Hayward,15409570,2016
Chandler Parsons,15361500,2016
Goran Dragic,14783000,2016
John Wall,14728844,2016
DeMarcus Cousins,14728844,2016
Khris Middleton,14700000,2016
Draymond Green,14260870,2016
Tristan Thompson,14260000,2016
Danilo Gallinari,14000000,2016
Reggie Jackson,13913044,2016
DeMarre Carroll,13600000,2016
Brandon Knight,13500000,2016
Eric Bledsoe,13500000,2016
Al Jefferson,13500000,2016
Tony Parker,13437500,2016
Joakim Noah,13400000,2016
JaVale McGee,13270964,2016
Nenê,13000000,2016
Tyson Chandler,13000000,2016
Ricky Rubio,12700000,2016
Robin Lopez,12650000,2016
Ty Lawson,12444552,2016
Rudy Gay,12403101,2016
Serge Ibaka,12250000,2016
Nikola Pekovic,12100000,2016
Derrick Favors,12000000,2016
Kyle Lowry,12000000,2016
Andrew Bogut,12000000,2016
Kemba Walker,12000000,2016
Amir Johnson,12000000,2016
Al Horford,12000000,2016
Nicolas Batum,11860750,2016
Andre Iguodala,11710456,2016
Stephen Curry,11370786,2016
Nikola Vucevic,11250000,2016
Kenneth Faried,11235955,2016
Thaddeus Young,11235955,2016
Marcin Gortat,11217391,2016
Jrue Holiday,11000000,2016
Deron Williams,10853761,2016
Tyreke Evans,10734586,2016
Wilson Chandler,10449438,2016
Monta Ellis,10300000,2016
Anderson Varejao,10158574,2016
Luol Deng,10151612,2016
Gerald Wallace,10105855,2016
Danny Green,10000000,2016
Zach Randolph,10000000,2016
Mike Conley,9680000,2016
DeMar DeRozan,9500000,2016
Rajon Rondo,9500000,2016
Alec Burks,9213484,2016
Omer Asik,9213483,2016
Jeff Green,9200000,2016
Lance Stephenson,9000000,2016
Iman Shumpert,8988765,2016
